2.1.1  = {	emperor = JMN }
962.2.2 = { 	emperor = SAX }
973.5.7 = {	emperor = FKN }
1125.5.23 = {	emperor = SAX }
1137.12.4 = {	emperor = FKN }
1250.12.13 = {	emperor = LUX }
1313.8.24 = {	emperor = BAV }
1346.7.11 = { 	emperor = BOH }
1419.8.16 = { 	emperor = HUN }
1437.12.9 = {	emperor = HAB }
1452.1.1 = { 	emperor = STY }
1457.11.24 = {	emperor = HAB }
1519.1.12 = {	emperor = SPA }
1556.1.16 = {	emperor = HAB }
1740.12.22 = {	emperor = BAV }
1745.1.21 = { 	emperor = TUS }
1765.1.1 = { 	emperor = HAB }
1806.7.12 = { 	emperor = --- } 


