#China superregion
660 = "西双版纳" 	# Saiseungbannap 	# Sibsongbanna
661 = "大理" 	# Dailei 	# Dali
662 = "云南" 	# Wunnam 	# Yunnan
663 = "广南" 	# Kwongnam 	# Guangnan
664 = "凌云" 	# Lingwun 	# Lingyun
665 = "肇庆" 	# Shiuhing 	# Shiuhing
666 = "琼州" 	# Kingchow 	# Kingchow
667 = "广州" 	# Canton 	# Canton
668 = "澳门" 	# Macau 	# Macau
669 = "福州" 	# Fukchow 	# Fuzhou
670 = "赣州" 	# Gungchow 	# Ganzhou
671 = "长沙" 	# Cheungsa 	# Changsha
672 = "武陵" 	# Moling 	# Wuling
673 = "镇远" 	# Junyuen 	# Zhenyuan
674 = "贵阳" 	# Kwaiyeung 	# Guiyang
679 = "成都" 	# Singdo 	# Chengdu
680 = "重庆" 	# Chunghing 	# Chongqing
681 = "宜昌" 	# Yicheung 	# Yichang
682 = "武昌" 	# Mocheung 	# Wuchang
683 = "南昌" 	# Namcheung 	# Nanchang
684 = "杭州" 	# Hongchow 	# Hangzhou
685 = "扬州" 	# Yeungchow 	# Yangzhou
686 = "安庆" 	# Onhing 	# Anqing
687 = "南阳" 	# Namyeung 	# Nanyang
688 = "开封" 	# Hoifung 	# Kaifeng
689 = "汉中" 	# Honjung 	# Hanzhong
690 = "青州" 	# Chingchow 	# Qingzhou
691 = "济南" 	# Jainam 	# Jinan
692 = "怀庆" 	# Waihing 	# Huaiqing
693 = "太原" 	# Taiyuen 	# Taiyuan
694 = "平阳" 	# Pingyeung 	# Pingyang
695 = "河间" 	# Hawgan 	# Hejian
696 = "保定" 	# Boding 	# Baoding
697 = "大同" 	# Daitung 	# Datong
698 = "宁夏" 	# Ningha 	# Ningxia
699 = "兰州" 	# Lanchow 	# Lanzhou
700 = "西安" 	# Sai-on 	# Xi'an
703 = "承德" 	# Singtak 	# Chengde
707 = "玉门" 	# Yukmoon 	# Yumen
708 = "张掖" 	# Jeungyik 	# Zhangye
#738 Sakam
1816 = "北京" 	# Peking 	# Beijing	#Note: The word "Peking" might have come from the Portuguese, but they got it from the Cantonese first. So "Peking" is correct for the Cantonese
1821 = "南京" 	# Namking 	# Nanjing
1822 = "苏州" 	# Sochow 	# Suzhou
1824 = "温州" 	# Wunchow 	# Wenzhou
1829 = "泉州" 	# Chuenchow 	# Quanzhou
1833 = "吉安" 	# Gut-on 	# Ji'an
1836 = "洛阳" 	# Lokyeung 	#  Luoyang
1838 = "合肥" 	# Hapfei 	# Hefei
1840 = "桂林" 	# Kwailam 	# Guilin
2136 = "宣化" 	# Suenfa 	# Xuanhua
2137 = "大名" 	# Daiming 	# Daming
2138 = "武定" 	# Moding 	# Wuding
2139 = "莱州" 	# Loichow 	# Laizhou
2140 = "兖州" 	# Yinchow 	# Yanzhou
2141 = "徐州" 	# Chuichow 	# Xuzhou
2142 = "淮安" 	# Wai-on 	# Huai'an
2143 = "凤阳" 	# Fungyeung 	# Fengyang
2144 = "阜阳" 	# Fauyeung 	# Fuyang
2145 = "镇江" 	# Junkong 	# Zhenjiang
2146 = "宁国" 	# Ningkwok 	# Ningguo
2147 = "徽州" 	# Faichow 	# Huizhou
2148 = "绍兴" 	# Siuhing 	# Shaoxin
2149 = "宁波" 	# Ningbaw 	# Ningbo
2150 = "金华" 	# Kamwa 	# Jinhua
2151 = "鄱阳" 	# Bawyeung 	# Poyang
2152 = "建宁" 	# Kinning 	# Jianning
2153 = "汀州" 	# Dingchow 	# Tingzhou
2165 = "普洱" 	# Poyi 	# Pu'er
2166 = "德宏" 	# Tak-wung 	# Dehong
2167 = "丽江" 	# Laikong 	# Lijiang
2168 = "播州" 	# Bawchow 	# Bozhou
2169 = "阆中" 	# Longchung 	# Langzhong
2170 = "松曲" 	# Sungkuk 	# Songqu
2171 = "襄阳" 	# Seungyeung 	# Xiangyang
2172 = "荆州" 	# Gingchow 	# Jingzhou
2173 = "沅陵" 	# Yuenling 	# Yuanling
2174 = "衡阳" 	# Hangyeung 	# Hengyang
2175 = "汝宁" 	# Yu-ning 	# Runing
2176 = "商丘" 	# Seungyau 	# Shangqiu
2177 = "宁武" 	# Ningmo 	# Ningwu
2178 = "潞安" 	# Low-on 	# Lu'an
2179 = "延安" 	# Yin-on 	# Yan'an
2180 = "天水" 	# Tinsui 	# Tianshui
2181 = "平凉" 	# Pingleung 	# Pingliang
2182 = "凉州" 	# Leungchow 	# Liangzhou
2183 = "洮州" 	# Tochow 	# Taozhou
2184 = "西宁" 	# Saining 	# Xining
2748 = "建昌" 	# Kincheung 	# Jianchang
4194 = "永平" 	# Wingping 	# Yongping
4195 = "真定" 	# Chunding 	# Zhending
4196 = "海州" 	# Hoichow 	# Haizhou
4197 = "黄州" 	# Wongchow 	# Huangzhou
4198 = "凤翔" 	# Fungcheung 	# Fengxiang
4199 = "铜仁" 	# Tongyen 	# Tongren
#Manchuria region
704 = "宁远" 	# Ningyuen 	# Ningyuan
726 = "沈阳" 	# Sumyeung 	# Shenyang
729 = "伯力" 	# Baklik 	# Bohori
730 = "吉林" 	# Gutlam 	# Girin
1033 = "库页岛" 	# Fuyipdo 	# Sakhalin
1048 = "庙街" 	# Miugai 	# Miyoo Gasan
1049 = "海兰泡" 	# Hoilanpau 	# Haiilanboo
1053 = "兴安" 	# Hing-on 	# Hinggan
2106 = "海参崴" 	# Hoisumwai 	# Furdan
2107 = "宁古塔" 	# Ninggutap 	# Ningguta
2108 = "珲春" 	# Wunchun 	# Huncun
2112 = "安东" 	# Ondung 	# Andong
2113 = "盖州" 	# Goichow 	# Gaizhou
4200 = "呼兰" 	# Fulan 	# Hulan
4201 = "建州" 	# Ginchow 	# Jianzhou
#Indochina region
600 = "大城" 	# Daising 	# Ayutthaya
601 = "素可泰" 	# Sohawtai 	# Sukhothai
602 = "清莱" 	# Chingloi 	# Chiang Rai
607 = "新州" 	# Sunchow 	# Vijaya
610 = "清化" 	# Chingfa 	# Thanh Hoa
613 = "东京" 	# Dungging 	# Dong Kinh
616 = "高平" 	# Goping 	# Cao Bang
1016 = "河静" 	# Hawjing 	# Ha Tinh
1022 = "岘港" 	# Yin-gong 	# Indrapura
2371 = "山罗" 	# Sanlaw 	# Song La
2372 = "海防" 	# Hoifong 	# Hai Phong
2373 = "顺化" 	# Shunfa 	# Hue
2374 = "芽庄" 	# Ngajong 	# Kauthara
2375 = "西原" 	# Saiyuen 	# Tay Nguyen
#Korea region
732 = "咸兴" 	# Hamhing 	# Hamheung
733 = "黄州" 	# Wongchow 	# Hwangju
734 = "原州" 	# Yuenchow 	# Wonju
735 = "汉城" 	# Honsing 	# Hanseong
736 = "尚州" 	# Seungchow 	# Sangju
737 = "全州" 	# Chuenchow 	# Jeonju
1013 = "清州" 	# Chingchow 	# Cheongju
1845 = "平壤" 	# Pingyeung 	# Pyeongyang
2694 = "江陵" 	# Gongling 	# Gangneung
2741 = "济州" 	# Jaichow 	# Jeju
2742 = "六镇" 	# Lukjun 	# Yukjin
2743 = "镜城" 	# Gangsing 	# Gyeongseong
2744 = "宁边" 	# Ningbin 	# Nyeongbyeon
2745 = "庆州" 	# Hingchow 	# Gyeongju
4227 = "晋州" 	# Junchow 	# Jinju
4228 = "罗州" 	# Lawchow 	# Naju
4229 = "忠州" 	# Jungchow 	# Chungju
4230 = "水原" 	# Suiyuen 	# Suwon
4231 = "海州" 	# Hoichow 	# Haeju
4232 = "江界" 	# Gonggai 	# Ganggye
#Japan region
1012 = "萨摩" 	# Satmaw 	# Satsuma
1014 = "丰后" 	# Funghau 	# Bungo
