1 = "√WØeXb—yS∆Y"  # Estocolmo
2882 = "Fuerte BorbÛn"
2835 = "Toledo de Plata"
2838 = "Tarija"
795 = "PotosÌ"
2946 = "Quillacas"
797 = "Real Villa de Austria"
2831 = "Tihuanaco"
793 = "Iquique"
2840 = "Calama"
2862 = "Coquimbo"
2873 = "Valdivia"
2874 = "AisÈn"
781 = "Puerto Deseado"
780 = "Candelaria"
2875 = "Chubut"
2871 = "Poya"
2868 = "San Antonio"
786 = "Carmen"
2863 = "Rio Negro"
2867 = "Los Pampas"
2872 = "Chiquiyami"
2877 = "Mendoza"
2847 = "San Luis"
2866 = "Olavarria"
2860 = "Querandi"
2849 = "Rosario"
2846 = "Quisquisacate"
2844 = "Chepes"
2843 = "La Rioja"
2842 = "Santiago del Estero"
2836 = "Tucum·n"
2837 = "Santa Catalina"
2878 = "Salta"
2854 = "Chaco Central"
777 = "San Justo"
2853 = "Corrientes"
2855 = "Misiones"
2851 = "Fray Bentos"
2850 = "Montevideo"
2852 = "Salto"
2858 = "Santiago"
2859 = "Itap˙a"
776 = "ConcepciÛn"
2883 = "Madre de Dios"
2879 = "Santa Tecla"
2887 = "La Conquista"
2895 = "El Burgo"
2896 = "San Esteban"
2897 = "Berlanga"
2893 = "Revilla"
2881 = "Corumba"
2903 = "Las Labores"
2902 = "Miguelturra"
2901 = "Casar del Rey"
2904 = "Campo de Criptana"
2905 = "Valdecabras"
2907 = "Garcinarro"
2919 = "Santa Anastasia"
2892 = "Santo Toribio"
2894 = "San Juan del Rey"
2899 = "Altas Torres"
2898 = "Nuevo Santo"
2916 = "Barbastro"
2917 = "Lascuarre"
2918 = "Panillo"
2891 = "Toreno Villaflor"
2908 = "Valhermoso"
2909 = "Vindel"
2911 = "Zaorejas"
2923 = "Ribadesella"
2925 = "CastrillÛn"
2885 = "Nolasco"
2914 = "Quinto"
2913 = "Caspe"
2912 = "Moneva"
2915 = "Sastago"
750 = "San Jorge de Guzm·n"
2922 = "Meseta de MarÌa"
754 = "Malnavegador"
2886 = "Mayalde"
2924 = "Selorio"
2927 = "Cadavedo"
2929 = "Navia"
2890 = "Ribagorza"
2938 = "BahabÛn"
2935 = "Roa"
2933 = "Ribadeo"
745 = "BahÌa de los Rojos"
2931 = "Casariego"
2803 = "Orinoco"
2805 = "Monagos"
742 = "Angostura"
2939 = "Zaraza"
2810 = "Apure"
2809 = "Calabozo"
2808 = "Nueva Valencia"
2807 = "Altagracia"
2813 = "MÈrida"
2617 = "Aguascalientes"
2668 = "Laguna Madre"
2614 = "Nuevo LeÛn"
2619 = "Saltillo"
2667 = "Laredo"
2618 = "Santa B·rbara"
2616 = "Cucurpe"
2620 = "Ensenada"
2476 = "San Diego"
2478 = "Tierra Fages"
2479 = "Sacramento"
2480 = "Rio Fernando"
2477 = "La SantÌsima"
2481 = "Cabo Arago"
2482 = "San Marino Di·cono"
2485 = "Olimpia"
2484 = "Cabo AdulaciÛn"
2491 = "Las Vegas"
2493 = "JimÈnez"
2494 = "El MalpaÌs"
2492 = "Valle del Lago"
2495 = "Dulce"
2496 = "La Junta"
2497 = "Loma de Ju·rez"
2498 = "√WS^0t"  # El Paso
2666 = "San Saba"
2499 = "Rio Bravo"
2500 = "San ¡ngelo"
2665 = "Los Ais"
2669 = "Tejas de Este"
2509 = "Topeka"
2672 = "Santa Potenciana"
2625 = "Las ¡nimas"
2507 = "Centro Ju·rez"
2508 = "Puente Viejo"
2512 = "San Bernado"
2517 = "GuarniciÛn"
2518 = "ApÛstol"
2513 = "El Arpa"
2519 = "San Telmo"
2520 = "Ciudad de Isabel"
2514 = "Nuevo Madrid"
2515 = "San JosÈ Calasanz"
2516 = "Los Adaes"
2530 = "Puerto San Luis"
2529 = "Los Nogales"
2528 = "AguafrÌa"
2527 = "Colina ObservaciÛn"
2531 = "Hermosa MÌa"
2532 = "Desota"
2533 = "Ponce de LeÛn"
2536 = "Tegesta"
2535 = "Pascua Florida"
2534 = "La Chua"
2539 = "Trast·mara"
2537 = "Gracia Real"
2538 = "La Saguada"
2540 = "Los MontÌculos"
2541 = "Santa Columba"
2542 = "Santa Elena"
2543 = "BahÌa Larga"
2546 = "Santa Casilda"
2545 = "Ochuse"
2544 = "Hacienda Verde"
2547 = "BahÌa del Rey"
2548 = "Nuevo RÌo"
2549 = "San Diego Alcal·"
2550 = "Santo Dominguito"
2552 = "Eboncio"
2551 = "Calzada"
2526 = "EstaciÛn Sion"
2524 = "Amistad"
2523 = "Pueblo PrÌncipe"
2525 = "Cincinato"
2522 = "Qualamasiu"
2521 = "Juepoyga"
2555 = "Santa Eulalia"
2556 = "Valle Flamenco"
2557 = "San Eulogio"
2553 = "San Roda"
2554 = "Santo de Silos"
2639 = "San Olegario"
2558 = "Fernando el Santo"
2560 = "Puerto San Vicente"
2561 = "Cabo Santa Flora"
2559 = "Cinco Estanques"
2563 = "MontaÒas Verdes"
2564 = "Montserrat"
970 = "Nova Abrantes"
2013 = "Nueva N·poles"
2566 = "BahÌa Amplia"
2567 = "San Juan de Dios"
2568 = "Cabo de Huelva"
2569 = "Pardo"
2570 = "Sahag˙n"
2571 = "Ortega"
2572 = "San Juli·n"
2582 = "Santa Leticia"
2583 = "San Juan Bautista"
2584 = "San Perfecto"
2580 = "Juamontana"
2579 = "San JerÛnimo"
2577 = "BahÌa de la Trinidade"
2576 = "El ArchipiÈlago"
2578 = "Isla de la AsunciÛn"
2573 = "Isla Santa Clara"
2575 = "BahÌa San Isidro"
2574 = "Fuerte San Isidro"
2670 = "Compostela"
2586 = "Santo Adolfo"
2587 = "Promontorio Real"
2585 = "Abundio"
2671 = "EspaÒola"
2581 = "Santa Laura"
2588 = "Las Campanas"
2589 = "RÌo Nutrio"
2590 = "Cascadas Ahumadas"
2591 = "Castor de Verano"
999 = "ReducciÛn Blanco"
2592 = "Manzanares"
2593 = "Lago de los Bosques"
2594 = "ÍèØeyr)RXb…bbØe"  # Distrito de Lagos
2596 = "San Benildo"
2598 = "Corrientes R·pidas"
2597 = "CervellÛn"
2599 = "Estanque Pedro"
2600 = "RÌo de la Paz"
2602 = "Ciervo Rojo"
2603 = "MontaÒa Rosa"
2604 = "Fuerte Santiago"
2605 = "Camloupes"
2607 = "Tierra de Verano"
2610 = "Cala del Conde"
2609 = "San Pedro Nolasco"
2613 = "Santa Teresa"
2612 = "CÛrdova"
2611 = "Cabo Piloto"
2486 = "El Gran"
2487 = "Perro Lago"
2488 = "San Luis Beltr·n"
2483 = "Cala Millor"
2489 = "Cascadas Gemelas"
2490 = "Chichipa"
2501 = "Hipona"
2502 = "Punto de Lobo"
2503 = "Punta Alojar"
2504 = "Hermano Pedro"
2505 = "Pueblo R·pidos"
2510 = "Tioga"
2511 = "Lago del Diablo"
2876 = "Alava"
