118 = "里姆" 	# Rim
137 = "杜布罗夫尼克" 	# Dubrovnik
140 = "波斯尼亚" 	# Bosna
142 = "克尔夫" 	# Krf
143 = "瓦罗纳" 	# Valona
144 = "伊庇尔" 	# Epir
145 = "摩里亚" 	# Moreja
146 = "阿提娜" 	# Atina
147 = "色萨利" 	# Tesalija
148 = "索伦" 	# Solun
149 = "叶德里涅" 	# Jedrinje
150 = "尼科波利" 	# Nikopolj
151 = "沙皇格勒" 	# Carigrad
152 = "瓦拉日丁" 	# Varazdin
156 = "蒂米什瓦拉" 	# Temisvar
159 = "锡利斯特拉" 	# Silistra
160 = "奥尔特尼亚" 	# Oltenija
161 = "特尔戈维什泰" 	# Trgoviste
164 = "纳克索斯" 	# Naksos
320 = "罗多斯" 	# Rodos
1765 = "索非亚" 	# Sofija
1767 = "斯拉沃尼亚" 	# Slavonija
1769 = "戈里察" 	# Gorica
1773 = "阿哈亚" 	# Ahaja
1853 = "科斯图尔" 	# Kostur
1954 = "伏伊伏丁那" 	# Vojvodina
2978 = "阿雷措" 	# Areco
3003 = "埃维亚" 	# Evbeja
4173 = "斯雷姆" 	# Srem
4174 = "德拉茨" 	# Drac
4728 = "帕维亚" 	# Pavija
4738 = "特尔斯特" 	# Trst
4750 = "克罗亚" 	# Kroja
4751 = "采列" 	# Celje
4754 = "科托尔" 	# Kotor
