36 = "爱沙尼亚" 	# Estonija
37 = "利沃尼亚" 	# Livonija
43 = "格但斯克" 	# Gdanjsk
89 = "皮卡第" 	# Pikardija
90 = "布鲁日" 	# Brugge
94 = "卢森堡" 	# Luksemburg
96 = "泽兰" 	# Zeland
97 = "荷兰" 	# Holandija
100 = "弗里西亚" 	# Frizija
101 = "热那亚" 	# Genova
102 = "尼斯" 	# Nica
104 = "米兰" 	# Milano
110 = "特伦托" 	# Trident
111 = "富尔拉尼亚" 	# Furlanija
112 = "威尼斯" 	# Mleci
116 = "佛罗伦萨" 	# Firenca
118 = "里姆" 	# Rim
121 = "那不勒斯" 	# Napulj
122 = "阿普利亚" 	# Apulija
123 = "卡拉布里亚" 	# Kalabrija
128 = "采洛瓦茨" 	# Celovac
129 = "克拉尼斯卡" 	# Kranjska
130 = "伊斯特拉" 	# Istra
132 = "shtajerska"
134 = "贝奇" 	# Bec
135 = "索普朗" 	# Shopron
137 = "杜布罗夫尼克" 	# Dubrovnik
138 = "黑山" 	# Crna Gora
140 = "波斯尼亚" 	# Bosna
142 = "科孚" 	# Krf
144 = "伊庇尔" 	# Epir
145 = "摩里亚" 	# Moreja
146 = "阿提娜" 	# Atina
147 = "色萨利" 	# Tesalija
148 = "索伦" 	# Solun
149 = "德里诺波列" 	# Drinopolje
150 = "特尔诺沃" 	# Trnovo
151 = "沙皇格勒" 	# Carigrad
152 = "瓦拉日丁" 	# Varazdin
153 = "佩什塔" 	# Peshta
156 = "蒂米什瓦拉" 	# Temishvar
157 = "大瓦拉丁" 	# Veliki Varadin
159 = "德拉斯塔" 	# Drastar
160 = "奥尔特尼亚" 	# Oltenija
161 = "特尔戈维什特" 	# Trgovishte
162 = "科希策" 	# Koshice
163 = "克里特" 	# Kreta
164 = "基克拉泽斯" 	# Cikladi
168 = "诺曼底" 	# Normandija
183 = "巴黎" 	# Pariz
189 = "洛林" 	# Lorena
261 = "加里奇" 	# Galic
262 = "克拉科夫" 	# Krakov
264 = "弗拉蒂斯拉夫" 	# Vratislavija
266 = "布拉格" 	# Prag
267 = "比尔森" 	# Plzen
268 = "摩尔达维亚" 	# Moldavija
271 = "萨莫吉希亚" 	# Samogitija
272 = "立陶宛" 	# Litva
273 = "拉特加利亚" 	# Latgalija
279 = "沃林" 	# Volinj
280 = "基辅" 	# Kijev
282 = "耶迪桑" 	# Jedisan
283 = "扎波罗热" 	# Zaporoshka
284 = "克里木" 	# Krim
286 = "亚速" 	# Azov
289 = "切尔尼戈夫" 	# Cernjihiv
291 = "哈尔科夫" 	# Harkiv
292 = "莫吉廖夫" 	# Mogiljov
297 = "布良斯克" 	# Brjansk
299 = "沃罗涅日" 	# Voronjez
301 = "梁赞" 	# Rjazan
302 = "坦波夫" 	# Tambov
303 = "萨拉托夫" 	# Saratov
320 = "罗得" 	# Rod
321 = "塞浦路斯" 	# Cipar
1318 = "斯皮什" 	# Spish
1765 = "索非亚" 	# Sofija
1769 = "戈里察" 	# Gorica
1853 = "科斯图尔" 	# Kostur
1954 = "伏伊伏丁那" 	# Vojvodina
2978 = "阿雷措" 	# Areco
3000 = "尼什" 	# Nish
3001 = "斯科普里" 	# Skoplje
4173 = "斯雷姆" 	# Srijem
4174 = "德拉茨" 	# Drac
4728 = "帕维亚" 	# Pavija
4738 = "特尔斯特" 	# Trst
4750 = "克罗亚" 	# Kroja
4751 = "采列" 	# Celje
4754 = "科托尔" 	# Kotor
4759 = "贝利亚克" 	# Beljak
1986 = "新卡莱多尼亚" 	# Nova Kaledonija
