5 = "韦姆兰" 	# Wermland
6 = "舍讷" 	# Schonen
12 = "西兰" 	# Seeland
13 = "石勒苏益格" 	# Schleswig
14 = "菲英" 	# Fünen
15 = "中日德兰" 	# Mitteljütland
29 = "塔瓦斯特兰" 	# Tawastland
37 = "利夫兰" 	# Liefland
42 = "埃姆兰" 	# Ermland
57 = "不伦瑞克" 	# Braunschweig
87 = "卡莱恩" 	# Kalen
88 = "阿图森" 	# Artesien
90 = "布鲁日" 	# Brügge
91 = "亨内高" 	# Hennegau
93 = "吕蒂希" 	# Lüttich
94 = "吕泽勒堡" 	# Lützelburg
99 = "盖尔登" 	# Geldern
101 = "热那亚" 	# Genua
102 = "尼察" 	# Nizza
103 = "都灵" 	# Turin
104 = "米兰" 	# Mailand
106 = "摩德恩" 	# Muden
107 = "韦尔施-布里克森" 	# Welsch-Brixen
108 = "韦尔施-伯尔尼" 	# Welsch-Bern
110 = "韦尔施蒂罗尔" 	# Welschtirol
111 = "弗留利" 	# Friaul
112 = "威内蒂希" 	# Venedig
114 = "拉文纳" 	# Raben
116 = "佛罗伦茨" 	# Florenz
118 = "罗马" 	# Rom
120 = "阿布鲁佐" 	# Abruzzen
121 = "那不勒斯" 	# Neapel
123 = "卡拉布里恩" 	# Kalabrien
130 = "伊斯特里恩" 	# Istrien
131 = "阿格拉姆" 	# Agram
135 = "厄登堡" 	# Ödenburg
141 = "塞门迪雷" 	# Semendria
142 = "科尔孚" 	# Korfu
143 = "阿尔巴尼恩" 	# Albanien
146 = "雅典" 	# Athen
147 = "特萨利恩" 	# Thessalien
151 = "君士坦丁堡" 	# Konstantinopel
154 = "诺伊霍伊塞尔" 	# Neuhäusel
156 = "泰迈什" 	# Temesch
158 = "马洛什" 	# Marosch
160 = "奥尔特尼恩" 	# Oltenien
161 = "特尔戈维舍" 	# Tergowisch
162 = "塞姆林" 	# Semmlin
163 = "克里特" 	# Kreta
187 = "赫尔错根巴尔" 	# Herzogenbar
189 = "南泽" 	# Nanzig
192 = "迪生" 	# Dision
193 = "弗莱格拉沙夫特" 	# Freigrafschaft
196 = "托洛兹" 	# Tholosen
201 = "瓦施-亚琛" 	# Wälsch-Aachen
203 = "莱登" 	# Leyden
204 = "德尔菲纳特" 	# Delfinat
205 = "卡姆拉赫" 	# Kamrach
207 = "阿斯图里亚斯" 	# Asturien
211 = "比利尼恩" 	# Pyrenäen
227 = "里斯波恩" 	# Lissabon
254 = "波森" 	# Posen
255 = "卡利什" 	# Kalisch
257 = "华绍" 	# Warschau
258 = "谢拉兹" 	# Schieratz
259 = "桑多米尔" 	# Sandomir
261 = "哈利奇" 	# Halitsch
262 = "卡拉科夫" 	# Krakau
265 = "布吕恩" 	# Brünn
266 = "布拉格" 	# Prag
267 = "比尔森" 	# Pilsen
268 = "摩尔道" 	# Moldau
269 = "波德拉谢" 	# Podlachien
270 = "特拉肯" 	# Traken
271 = "舍麦腾" 	# Schemaiten
273 = "拉特加拉恩" 	# Lettgallen
279 = "沃伦恩" 	# Wolhynien
281 = "波多里恩" 	# Podolien
1174 = "鲸湾港" 	# Walfischbucht
1177 = {
  "好望角" 	# Kap der Guten Hoffnung
  "开普施塔德" 	# Kapstadt
}
1318 = "斯匹什" 	# Spisz
1381 = "齐普斯" 	# Zips
1743 = "卡梅里希" 	# Kamerich
1744 = "安托尔夫" 	# Antorf
1745 = "坎塔布里恩" 	# Kantabrien
1756 = "比萨拉比恩" 	# Bessarabien
1760 = "科布伦茨" 	# Coblenz 	# Old spelling before 1926
1767 = "斯拉沃尼恩" 	# Slawonien
1772 = "普雷斯堡" 	# Pressburg
1773 = "亚该亚" 	# Achaia
1827 = "拉基恩" 	# Raszien
1831 = "黑塞哥维那" 	# Herzegowina
1834 = "塔尔图" 	# Dörpt
1842 = "纳尔瓦" 	# Narwa
1859 = "库尔姆" 	# Kulm
1862 = "克雷姆恩" 	# Kremun
1864 = "朔莫代" 	# Schomodei
1865 = "根特" 	# Gent
1866 = "那慕恩" 	# Namen
1867 = "瓦特" 	# Waadt
1931 = "东弗里斯兰" 	# Ostfriesland
1934 = "卢卡尼恩" 	# Lukanien
1936 = "考恩" 	# Kauen
1937 = "嘉尔登" 	# Garten
1939 = "伦奇察" 	# Lentschitza
1940 = "贝尔斯" 	# Bels
1951 = "埃森马科特" 	# Eisenmarkt
1952 = "马拉马勒什" 	# Marmarosch
1953 = "索博尔奇" 	# Saboltsch
2424 = "普雷米赛尔" 	# Premissel
2746 = "维丁" 	# Widin
2959 = "塔尔瑙" 	# Tarnau
2960 = "新松奇" 	# Neu Sandec
2961 = "伦贝格" 	# Lemberg
2963 = "尼茨" 	# Netze
2968 = "布德韦斯" 	# Budweis
2970 = "克尼格雷茨" 	# Königgrätz
2975 = "克莱沃" 	# Cleve
2982 = "叙拉古" 	# Syrakus
2997 = "图赫尔" 	# Tuchel
2998 = "布泽乌" 	# Busäu
3000 = "尼什" 	# Nisch
3003 = "优卑亚" 	# Euböa
4696 = "泰隆" 	# Telon
4727 = "萨鲁茨" 	# Salutz
4728 = "帕威" 	# Pawei
4729 = "帕多瓦" 	# Padua
4738 = "特里斯特" 	# Triest
4739 = "瓦施-卑尔根" 	# Wälsch-Bergen
4740 = "查姆" 	# Chum
4765 = "米尔豪森" 	# Mülhausen
4766 = "韦尔腾" 	# Wirten
4767 = "茨韦布吕肯" 	# Zweibrücken
4768 = "于利希" 	# Jülich
4769 = "雷塞尔" 	# Ryssel
4770 = "黑措根布施" 	# Herzogenbusch
493 = "圣托马斯" 	# Sankt Thomas
502 = "新库尔兰" 	# Neu-Kurland
830 = "新纽伦堡" 	# Neu-Nürnberg
1139 = "多罗特亚堡" 	# Fort Dorothea
2258 = "大腓特烈堡" 	# Groß Friedrichsburg
2808 = "新奥格斯堡" 	# Neu-Augsburg
4173 = "叙尔米恩" 	# Syrmien
4237 = "奥尔米茨" 	# Olmütz
1306 = "圣托马斯" 	# Sankt Thomas
1103 = "会议岛" 	# Insel der Zusammenkunft
1986 = "新喀里多尼亚" 	# Neukaledonien
1997 = "中途岛" 	# Halbwegsinsel
1988 = "复活节岛" 	# Osterinsel
1098 = "圣海伦娜" 	# St. Helena
2002 = "加拉帕戈斯群岛" 	# Galapagosinseln
1987 = "社会群岛" 	# Gesellschaftsinseln
1725 = "土阿莫土群岛" 	# Tuamotu-Archipel
1238 = "所罗门群岛" 	# Salomonen
