112 = "韦伦采" 	# Velence
131 = "萨格拉布" 	# Zágráb
134 = "贝奇" 	# Bécs
141 = "森德勒" 	# Szendro
149 = "德林纳堡" 	# Drinápoly
150 = "尼卡堡" 	# Nikápoly
151 = "君士坦丁波利" 	# Konstantinápoly
154 = "洪特" 	# Hont
159 = "杜勒斯特尔" 	# Durosztol
257 = "沃尔绍" 	# Varsó
262 = "克拉科" 	# Krakkó
264 = "博罗斯洛" 	# Boroszló
266 = "布拉格" 	# Prága
1318 = "塞佩什" 	# Szepes
1765 = "塞勒德茨" 	# Szeredoc
1768 = "斯拉沃尼亚" 	# Szlavónia
1863 = "格拉茨" 	# Grác
1952 = "马拉莫罗什" 	# Máramaros
2746 = "博多尼" 	# Bodony
2960 = "新桑德茨" 	# Újszandec
2998 = "波扎瓦沙尔" 	# Bodzavásár
4127 = "多尔达" 	# Torda
4173 = "塞雷姆" 	# Szerém
4126 = "巴奇" 	# Bács
4127 = "多尔达" 	# Torda
4236 = "特伦钦" 	# Trencsén
4239 = "楠多尔白堡" 	# Nándorfehérvár
4720 = "根夫" 	# Genf
61 = "德赖兹达" 	# Drezda
62 = "利普切" 	# Lipcse
97 = "阿姆斯特丹" 	# Amszterdam
104 = "米兰" 	# Milánó
105 = "帕尔马" 	# Párma
118 = "罗马" 	# Róma
121 = "那不勒斯" 	# Nápoly
126 = "马耳他" 	# Málta
129 = "克拉伊纳" 	# Krajna
130 = "伊斯特里亚" 	# Isztria
132 = "斯塔耶尔弗尔德" 	# Stájerföld
137 = "拉古萨" 	# Raguza
140 = "拉毛" 	# Ráma
142 = "科孚" 	# Korfu
143 = "沃洛瑙" 	# Valóna
146 = "雅典" 	# Athén
147 = "泰萨利亚" 	# Thesszália
160 = "奥尔特尼亚" 	# Olténia
161 = "特尔戈维什泰" 	# Tergovistye
163 = "克里特" 	# Kréta
183 = "巴黎" 	# Párizs
226 = "直布罗陀" 	# Gibraltár
227 = "里斯本" 	# Lisszabon
256 = "保洛茨考" 	# Palacka
259 = "松多米尔" 	# Szandomir 
261 = "豪利奇" 	# Halics
265 = "布吕恩" 	# Brünn
267 = "比尔森" 	# Pilzen
268 = "布科维瑙" 	# Bukovina
275 = "波洛曹克" 	# Polacak
276 = "明斯克" 	# Minszk
279 = "沃利尼奥" 	# Volhínia
280 = "基辅" 	# Kijev
