124 = "马西那" 	# Massina
125 = "巴拉尔姆" 	# Balarm
196 = "图卢沙" 	# Tolosha
206 = "圣叶尔孤白" 	# Shant Yakub
208 = "里云" 	# Liyun
210 = "班巴卢纳" 	# Banbaluna
211 = "瓦斯卡" 	# Wasqah
212 = "贾伦达" 	# Garundah
213 = "巴尔沙卢纳" 	# Barshaluna
214 = "萨拉古斯塔" 	# Saraqusta
215 = "巴拉杜瓦利德" 	# Baladu-Walid
216 = "萨尔曼尼卡" 	# Salmanika
217 = "马季里特" 	# Majrit
218 = "巴塔尔尧斯" 	# Batalyaws
219 = "图莱图拉" 	# Tulaytullah
220 = "巴兰西亚" 	# Balansiyah
221 = "穆尔西亚" 	# Mursiya
222 = "马尔里亚" 	# Marriya
223 = "贾尔纳塔" 	# Garnatah
224 = "伊什比利亚" 	# Isbiliya
225 = "古尔图巴" 	# Qurtuba
226 = "塔里克山" 	# Jabal Tariq
227 = "里斯本那" 	# Lixbuna
228 = "阿德纳" 	# al-Adna
229 = "巴贾" 	# Baja
230 = "希尔卜" 	# Shilb
231 = "布尔图加勒" 	# Burtuqal
333 = "马尤尔加" 	# Mayurqa
965 = "新贾尔纳塔" 	# Garnatah al-Jadida
1747 = "拜拉特" 	# El-Belat
1746 = "吉拉" 	# Qila
1748 = "杰延" 	# Jayyan
1749 = "加迪斯" 	# Qadis
1750 = "拉坎特城" 	# Medina Laqant
1751 = "塞卜泰" 	# Sebtah
1851 = "库鲁姆里亚" 	# Qulumriya
2473 = "苏萨" 	# Susa
2751 = "昆卡" 	# Qunka
2753 = "阿尔布纳" 	# Arbouna
2754 = "曼沙" 	# Al-Mansha
2755 = "萨利姆城" 	# Madinat Salim
2982 = "萨拉古萨" 	# Saraqusa
2988 = "塔拉库纳" 	# Tarrakunah
2990 = "提尔瓦勒" 	# Tirwal
332 = "马尔阿什" 	# Mar'ash
336 = "特莱姆森" 	# Tilimsan
338 = "米提贾" 	# Mitija
340 = "君士坦丁" 	# Qusantinah
352 = "加夫萨" 	# Qafsah
356 = "班加西" 	# Bangazi
357 = "达尔纳" 	# Darnah
358 = "伊斯坎达里亚" 	# Iskandariyya
361 = "开罗" 	# Qahirah
362 = "拉希德" 	# Rashid
363 = "杜姆亚特" 	# Dumyat
364 = "加沙" 	# Ghazzah
365 = "西奈" 	# Sina
377 = "哈拉卜" 	# Halab
378 = "塔拉布卢斯-沙姆" 	# Tarabulus al-Sham
379 = "古德斯" 	# al-Quds
381 = "阿吉隆" 	# Ajloun
382 = "大马士革" 	# Dimashq
384 = "麦地那" 	# Madinah
385 = "麦加" 	# Makkah
387 = "穆哈" 	# Mukha
388 = "亚丁" 	# Adan
390 = "萨那" 	# Sana'a
391 = "奈季兰" 	# Najran
392 = "阿利兹" 	# Al'Arid
393 = "舍迈尔山" 	# Jabal Shammar
394 = "盖提夫" 	# Qatif
395 = "卡塔尔" 	# Qatar
396 = "阿瓦勒" 	# Awal
398 = "卡瓦西姆" 	# Qawasim
399 = "苏哈尔" 	# Suhar
400 = "马斯喀特" 	# Masqat
404 = "利瓦" 	# Liwa
405 = "泰德穆尔" 	# Tadmor
407 = "拉卡" 	# Ar-Raqqah
408 = "巴士拉" 	# Basrah
410 = "巴格达" 	# Bagdad
411 = "摩苏尔" 	# Mawsil
418 = "迪亚巴克尔" 	# Diyar al-Bakr
1099 = "索科特拉" 	# Suqutra
1849 = "哈马" 	# Hamah
1855 = "赛达" 	# Sayda
1851 = "库鲁姆里亚" 	# Qulumriya
2313 = "安塔基亚" 	# Antakiya
2315 = "苏伊士" 	# as-Suways
2320 = "拉斯加里卜" 	# Ras Gareb
2321 = "古赛尔" 	# Qusayr
2326 = "巴尔迪亚" 	# Bardiya
2327 = "马安" 	# Ma'an
2329 = "延布巴赫尔" 	# Yanbu' al-Bahr
2339 = "亚卜林" 	# Yabrin
1102 = "迪纳阿卢比" 	# Dina Arobi
1103 = "迪纳穆尔贾宾" 	# Dina Morgabin
4020 = "卡马里" 	# Qamari
