197 = "罗塞略" 	# Rosselló
211 = "比利牛斯" 	# Pirineus
221 = "穆尔西亚" 	# Murcia
222 = "阿尔梅里亚" 	# Almería
223 = "格拉纳达" 	# Granada
224 = "塞维利亚" 	# Sevilla
225 = "科尔多瓦" 	# Córdoba
226 = "直布罗陀" 	# Gibraltar
231 = "奥波尔图" 	# Oporto
232 = "布拉干萨" 	# Braganza
333 = "马略卡" 	# Mallorca
367 = "亚速尔" 	# Azores
1748 = "哈恩" 	# Jaén
1749 = "加的斯" 	# Cádiz
1750 = "阿利坎特" 	# Alicante
1851 = "科英布拉" 	# Coímbra
4550 = "卡斯特利翁" 	# Castellón
4549 = "哈蒂瓦" 	# Játiva
90 = "布鲁哈斯" 	# Brujas
92 = "布拉班特" 	# Brabante
96 = "泽兰" 	# Zelanda
97 = "荷兰" 	# Holanda
98 = "乌特雷克" 	# Utreque
99 = "盖尔德勒" 	# Güeldres
100 = "弗里西亚" 	# Frisia
1742 = "林堡" 	# Limburgo
1744 = "安特卫普" 	# Antuerpia
1865 = "根特" 	# Gante
102 = "尼萨" 	# Niza
103 = "都灵" 	# Turín
104 = "米兰" 	# Milán
106 = "摩德纳" 	# Módena
109 = "曼图阿" 	# Mantua
112 = "威尼西亚" 	# Venecia
116 = "佛罗伦西亚" 	# Florencia
120 = "阿夫鲁索斯" 	# Abruzos
121 = "那不勒斯" 	# Nápoles
124 = "墨西拿" 	# Mesina
127 = "萨萨里" 	# Sasser
1247 = "科西嘉" 	# Córcega
1875 = "库内奥" 	# Cúneo
2986 = "卡列尔" 	# Cáller
4728 = "帕维亚" 	# Pavía
4729 = "帕多瓦" 	# Padua
4730 = "博洛尼亚" 	# Bolonia
4739 = "贝加莫" 	# Bérgamo
173 = "拉沃尔特" 	# Labort
88 = "阿尔特西亚" 	# Artesia
89 = "皮卡迪亚" 	# Picardía
91 = "埃瑙" 	# Henao
93 = "列日" 	# Lieja
94 = "卢森堡" 	# Luxemburgo
167 = "鲁昂" 	# Ruán
168 = "诺曼迪亚" 	# Normandía
173 = "拉沃尔特" 	# Labort
174 = "波尔德乌斯" 	# Bordeus
175 = "阿尔马尼亚克" 	# Armañac
176 = "贝阿尔内" 	# Bearne
178 = "安赫奥" 	# Anjeo
180 = "上普瓦图" 	# Alto-Poitú
183 = "法兰西岛" 	# Isla de Francia
184 = "奥尔莱阿内萨多" 	# Orleanesado
186 = "香槟尼亚" 	# Champaña
189 = "洛雷纳" 	# Lorena
190 = "波旁内斯" 	# Borbonés
192 = "勃艮尼亚" 	# Borgoña
193 = "弗兰戈孔达多" 	# Franco Condado
195 = "莱莫辛" 	# Lemosín
196 = "托洛萨" 	# Tolosa
198 = "鲁埃尔圭" 	# Ruergüe
199 = "奥韦尔尼亚" 	# Auvernia
200 = "伦加多克" 	# Lenguadoc
201 = "艾斯" 	# Ais
202 = "阿维尼翁" 	# Aviñón
203 = "利奥内塞" 	# Lionese
204 = "德尔菲纳多" 	# Delfinado
205 = "尚贝里" 	# Chamberí
1879 = "阿伦松" 	# Alenzón
2753 = "纳博讷" 	# Narbona
