#Anglia
233 = "康努比亚" 	# Cornubia
234 = "汉通尼亚" 	# Hantonia
235 = "坎提翁" 	# Cantium
236 = "伦蒂尼恩" 	# Londinium
237 = "俄克索尼亚" 	# Oxonia
238 = "艾塞克希亚" 	# Essexia
239 = "格勒翁" 	# Glevum
240 = "墨耳基亚" 	# Mercia
241 = "克拉摩甘尼亚" 	# Clamorgania
242 = "威涅多提亚" 	# Venedotia
243 = "林冬" 	# Lindum
244 = "刻斯特里亚" 	# Cestria 	# For Chester (capital) rather than Lancaster
245 = "艾伯拉肯" 	# Eboracum
246 = "诺森布里亚" 	# Northumbria
247 = "孔布里亚" 	# Cumbria
1860 = "诺福基亚" 	# Norfolcia
1861 = "德比亚" 	# Derbia
4130 = "索墨耳同" 	# Somerton
#Gallia
88 = "阿特雷巴斯" 	# Atrebas
89 = "皮卡狄亚" 	# Picardia
167 = "罗托马古斯" 	# Rothomagus
168 = "诺曼尼亚" 	# Normannia
169 = "阿耳摩里卡" 	# Armorica
170 = "菲尼斯忒拉" 	# Finis Terrae
171 = "马里库隆" 	# Mariculum
172 = "楠涅忒斯港" 	# Portum Namnetum 	# Nantes (Namnetum?)
173 = "拉普耳冬" 	# Lapurdum
174 = "布耳狄加拉" 	# Burdigala 	# Bordeaux rather than Gascogne
175 = "奥斯基的奥古斯塔" 	# Augusta Auscorum 	# Auch (shorten to Auscorum?)
176 = "贝涅阿耳尼亚" 	# Benearnia
177 = "刻诺曼农" 	# Cenomanum
178 = "安得卡维斯" 	# Andecavis
179 = "比图里革斯的阿瓦里孔" 	# Avaricum Biturigum 	# Bourges (Biturigum?)
180 = "庇克塔维翁" 	# Pictavium
182 = "孔彭迪翁" 	# Compendium
183 = "卢忒提亚" 	# Lutetia
184 = "奥勒利安尼翁" 	# Aurelianium
186 = "杜罗科耳托戎" 	# Durocortorum
187 = "巴耳戎" 	# Barrum
188 = "墨提斯" 	# Mettis
189 = "洛塔林吉亚" 	# Lotharingia
190 = "波旁尼亚" 	# Burbonia
191 = "尼威耳农" 	# Nivernum
192 = "勃艮狄亚" 	# Burgundia
193 = "利贝耳-科米塔图斯" 	# Liber Comitatus
194 = "杜拉尼乌斯" 	# Duranius 	# Actually Dordogne
195 = "奥古斯托里同" 	# Augustoritum
196 = "托洛萨" 	# Tolosa
198 = "塞戈杜农" 	# Segodunum
199 = "阿威耳尼亚" 	# Arvernia
200 = "蒙斯佩苏拉努斯" 	# Monspesullanus
201 = "塞克斯提乌斯泉" 	# Aquae Sextiae 	# Aix-en-Provence, though Massilia may be more recognizable.
203 = "卢格敦" 	# Lugdunum
204 = "得尔菲那图斯" 	# Delphinatus 	# Delphinatus Viennensis in full, equivalent to fr Dauphiné Viennois
205 = "萨包狄亚" 	# Sabaudia
1743 = "卡墨拉孔" 	# Cameracum
1877 = "夸德里革莱" 	# Quadrigellae
1879 = "阿楞科尼翁" 	# Alenconium
2753 = "纳耳博" 	# Narbo
2991 = "瓦鲁斯" 	# Varus 	# Actually Var.
4111 = "珊托涅斯的墨狄俄拉农" 	# Mediolanum Santonum 	# Saintes (Santonum?)
4112 = "卡杜耳孔" 	# Cadurcum
#Iberia
#No names found for: Cuenca
197 = "佩耳庇尼安农" 	# Perpinianum
206 = "布里甘提翁" 	# Brigantium
207 = "阿斯图里埃" 	# Asturiae
208 = "雷及欧" 	# Legio
209 = "比斯卡亚" 	# Biscaia
211 = "皮雷奈伊" 	# Pyrenaei
212 = "格伦达" 	# Gerunda
214 = "恺撒奥古斯塔" 	# Caesaraugusta
215 = "瓦尔多勒同" 	# Valdoletum
216 = "萨尔曼提卡" 	# Salmantica
217 = "马特里同" 	# Matritum
218 = "厄墨里塔-奥古斯塔" 	# Emerita Augusta 	# Can't find latin name for Badajoz, so went with nearby Merida
219 = "托勒同" 	# Toletum
220 = "瓦伦提亚" 	# Valentia
223 = "格拉纳塔" 	# Granata
224 = "希斯帕利斯" 	# Hispalis
225 = "科耳杜巴" 	# Corduba
226 = "直布罗塔里亚" 	# Gibraltaria
227 = "俄利西波" 	# Olisipo
228 = "维索" 	# Viso
229 = "厄玻剌" 	# Ebora
230 = "俄索诺巴" 	# Ossonoba
231 = "卡勒港" 	# Portus Cale
232 = "布里甘提亚" 	# Brigantia
366 = "卡那里亚群岛" 	# Canaria Insulae
368 = "马忒里埃岛" 	# Insula Materiae
1746 = "部耳吉" 	# Burgi
1747 = "恺撒的诺耳巴" 	# Norba Caesarina
1748 = "盖恩那" 	# Gaiena
1749 = "加得斯" 	# Gades
1750 = "卢肯同" 	# Lucentum
1851 = "科宁布里加" 	# Conimbriga
2754 = "马尼卡" 	# Manica
2755 = "俄里亚" 	# Oria 	# Disputed
2987 = "乌耳革隆" 	# Urgellum
2988 = "塔拉科" 	# Tarraco
2989 = "里俄伊亚" 	# Rioiia
2990 = "忒鲁利翁" 	# Terulium
#Italia
101 = "革努亚" 	# Genua
102 = "尼开亚" 	# Nicaea
103 = "陶里尼的奥古斯塔" 	# Augusta Taurinorum
104 = "墨狄俄拉农" 	# Mediolanum
107 = "布里克西亚" 	# Brixia
111 = "尤利乌斯广场" 	# Forum Iulii
112 = "威涅提亚" 	# Venetiae
113 = "费拉里亚" 	# Ferraria
114 = "拉文纳" 	# Ravenna
115 = "比萨" 	# Pisae
116 = "佛罗伦提亚" 	# Florentia
117 = "塞纳尤利亚" 	# Sena Iulia
120 = "阿普鲁提翁" 	# Aprutium
121 = "涅亚波利斯" 	# Neapolis
122 = "萨楞同" 	# Sallentum
123 = "布鲁提翁" 	# Bruttium
124 = "墨萨那" 	# Messana
125 = "帕诺耳穆斯" 	# Panormus
126 = "墨利塔" 	# Melita
127 = "萨萨里斯" 	# Sassaris
1774 = "塔耳维西翁" 	# Tarvisium
1875 = "库涅翁" 	# Cuneum
1933 = "巴里翁" 	# Barium
2976 = "佩鲁西亚" 	# Perusia
2977 = "乌耳比农" 	# Urbinum
2978 = "阿雷提翁" 	# Arretium
2979 = "诺瓦里亚" 	# Novaria
2980 = "卢卡" 	# Luca
2981 = "蒙斯斐拉图斯" 	# Mons Ferratus
2982 = "叙拉古" 	# Syracusae
2983 = "萨勒耳农" 	# Salernum
2984 = "孔森提亚" 	# Consentia
2985 = "弗维亚" 	# Fovea
2986 = "卡剌利斯" 	# Caralis
2992 = "阿尔宾高农" 	# Albingaunum
4727 = "萨卢提埃" 	# Salutiae
4728 = "提基农" 	# Ticinum
4729 = "帕塔维翁" 	# Patavium
4730 = "玻诺尼亚" 	# Bononia
4731 = "斯波勒同" 	# Spoletum
4732 = "塔耳剌基纳" 	# Tarracina
4733 = "坎普斯瓦索戎" 	# Campus Vassorum
