
#Americas
956  = "Nya Götheborg"		 #Lenape		
957  = "Fort Kristina"		 #Delaware 
962  = "Nya Elfsborg"		 #Unami

#Baltics	
37   = "Livland"		 #Livland
272  = "Vilna"			 #Lithuania/Vilna
273  = "Lettgallen"		 #Latgalia

#Germany
49   = "Nya märket"		 #Neumark
110  = "Sydtyrolen"		 #Trent/Sudtirol
1770 = "Östmark"		 #Ostmark

#Benelux
90   = "Flandern"		 #Vlaanderen
#Serbia
138  = "Montenegro"		 #Zeta


#Greece
4699 = "Aitolien"		#Aetolia

#List
10 = "Jämtland"							#Jamtland					|checked	02.09.18
12 = "Köpenhamn"						#Sjælland					|			25.10.18				
15 = "Västjylland"						#Vestjylland				|			25.10.18
16 = "Bohuslän"							#Bohuslan					|checked	02.09.18
17 = "Åkerborg"							#Akershus					|			28.10.18
20 = "Tröndelagen"						#Trøndelag					|			28.10.18
22 = "Högland"							#Opplanda					|			25.10.18
23 = "Bergenborg"						#Bergenhus					|			28.10.18
27 = "Åbo"								#Åbo						|			23.05.18
29 = "Tavastland"						#Tavastland					|checked	28.08.18
31 = "Savolax"							#Savolax					|checked	02.09.18
32 = "Kexholm"							#Kexholm					|checked	22.05.18
33 = "Nöteborg"		 					#Neva						|			24.10.18
34 = "Isjorernas land"					#Ingermanland				|			26.10.18
35 = "Ösel"								#Ösel						|checked	26.05.18
36 = "Lindanäs"							#Reval						|			25.10.18
42 = "Ermland"							#Warmia						|			23.10.18
45 = "Lybeck"			 				#Lübeck						|			25.10.18
2995 = "Stolpe"							#Stolp						|			23.10.18
76 = "Saltborg"							#Salzburg					|			09.10.20
79 = "Wyrtsborg"						#Würzborg					|theory		10.10.20
87 = "Kalen"							#Calais						|german		16.09.20
88 = "Artesien"							#Artois						|theory		16.09.20
96 = "Middelburg"						#Zeeland					|			27.09.23
101 = "Genua"			 				#Genoa						|			16.09.20
111 = "Friulien"  						#Friuli						|checked	16.09.20
112 = "Venedig"							#Venezia					|			26.05.18
116 = "Florens"							#Firenze					|			26.05.18
118 = "Rom"								#Roma						|			26.05.18
121 = "Neapel"							#Napoli						|			26.05.18
123 = "Kalabrien"						#Calabria					|			26.05.18
130 = "Istrien"							#Istria						|			26.05.18
140 = "Bosnien"							#Bosnia						|			16.09.20
142 = "Korfu"							#Corfu						|			16.09.20
146 = "Aten"							#Athens						|			26.05.18
151 = "Konstantinopel"					#Constantinople				|			16.09.20
163 = "Kreta"							#Crete						|			26.05.18
207 = "Asturien"						#Asturias					|			08.09.19
230 = "Algarbien"						#Algarve					|german		16.09.20
253 = "Yttre Hebriderna"				#Outer Hebrides				|			26.05.18
254 = "Posen"			 				#Poznan						|checked	16.09.20
257 = "Varsjava"						#Warszawa					|			25.10.18
262 = "Krakau"			 				#Krakow						|			16.09.20
266 = "Prag"							#Praha						|			26.05.18
269 = "Podlasien"						#Podlasie					|			25.10.18
271 = "Samogitien"						#Samogitia					|			25.10.18
284 = "Krim"							#Crimea						|			25.10.18
288 = "Nedre Don"						#Lower Don					|			16.09.20
295 = "Moskva"							#Moskva						|checked	16.09.20
306 = "Nedre Nystad"					#Nizhny Novgorod			|			26.10.18
310 = "Nystad"		 					#Novgorod					|			25.10.18
312 = "Vitsjö"							#Beloozero					|			25.10.18
321 = "Cypern"							#Cyprus						|			16.09.20
330 = "Trabzon"							#Trebizond					|			26.05.18
339 = "Kabylien"						#Kabylia					|			16.09.20
361 = "Kairo"							#Cairo						|			26.05.18
367 = "Azorerna"						#The Azores					|			25.09.23
382 = "Damaskus"						#Damascus					|			26.10.18
2201 = "Alanien"						#Alania						|			16.09.20
667 = "Kanton"							#Guangzhou					|			26.05.18
782 = "Eldslandet"						#Tierra del Fuego			|			26.05.18
1098 = "Sankta Helena"					#St. Helena					|			27.09.23
1099 = "Sokotra"						#Socotra					|			16.09.20
1095 = "Falklandsöarna"					#Falklands					|			25.09.23
1096 = "Kap Verde"						#Cape Verde					|			27.09.23
1177 = "Kapstaden"						#Cape						|			26.05.18
1238 = "Salomonöarna"					#Solomon Islands			|			27.09.23	
1248 = "Maldiverna"						#Maldives					|			16.09.20
1745 = "Kantabrien"						#Cantabria					|			08.09.19
1756 = "Bessarabien"					#Bessarabia					|			16.09.20
1767 = "Slavonien"		 				#Slavonia					|			26.05.18
1834 = "Dorpat"							#Dorpat						|checked	25.10.18
1841 = "Marienborg"						#Marienburg					|			25.10.18
1942 = "Zjytomyr"						#Zhytomyr					|			27.10.18
1945 = "Severien"						#Severia					|			16.09.20
1961 = "Aldeigjuborg"					#Ladoga						|			03.09.18
1972 = "Udmurtien"						#Udmurtia					|			06.10.20
1978 = "Shetlandsöarna"					#The Shetlands				|			16.09.20
1979 = "Färöarna"						#Färöarna					|checked	26.05.18
1984 = "Nordjylland"					#Nordjylland				|checked	25.10.18
1986 = "Nya Kaledonien"					#New Caledonia				|			27.09.23
1988 = "Påskön"							#Rapanui					|			27.09.23	
1993 = "Marshallöarna"					#Marshall Islands			|			27.09.23
1995 = "Mikronesien"					#Micronesia					|			25.09.23
2002 = "Galápagosöarna"					#Galápagos Islands			|			27.09.23
2025 = "Sydgeorgien"					#South Georgia				|			27.09.23
4706 = "Dobrudzja"						#Dobruja					|			26.05.18
3008 = "Åbenrå"							#Aabenraa					|			26.05.18
4020 = "Komorerna"						#Comoros					|			16.09.20
2425 = "Nentser"						#Nenets						|			26.10.18
2997 = "Pommerellen"					#Pomerelia					|			23.01.21
3003 = "Euboia"							#Euboea						|			26.05.18
463 = "Cirkassien"						#Circassia					|			16.09.20
2197 = "Kabardien"						#Kabardia					|			16.09.20
2203 = "Kachetien"						#Kakheti					|			17.10.20
2323 = "Nubiska Öknen"					#Sahra an Nübyah			|checked	16.09.20
3076 = "Övre Nilen"						#Upper nile					|			16.09.20
767 = "Insterborg"						#Wystruc					|theory		25.10.18
2749 = "Titschvin"						#Tikhvin					|theory 	26.10.18
2961 = "Lemberg"						#Lvov						|			16.09.20
47 = "Strålsund"						#Stralsund					|			12.05.19
2982 = "Syrakusa"		 				#Syracuse					|			16.09.20
4716 = "Coborg"							#Coburg						|			10.10.20
4721 = "Friborg"						#Fribourg					|			16.09.20
4745 = "Rygen"							#Rügen						|			14.09.20
4767 = "Tvåbroar"						#Zweibrücken				|theory		16.09.20
3233 = "Birkaland"						#Birkaland					|checked	22.05.18
4122 = "Sjengaberg"						#Shenkursk					|			25.10.18
4128 = "Konungsgrund"					#Kiralyfold					|theory		16.09.20
4124 = "Karelen"						#Karelia					|			26.05.18
4152 = "Enare"							#Aanaar						|			22.05.18
4151 = "Kajanaland"						#Kainuu						|checked	22.05.18
4147 = "Rostofa"						#Rostov						|norse		09.10.20
4141 = "Ditmarsken"						#Dithmarschen				|			25.10.18
4142 = "Århus"							#Aarhus						|			26.05.18
4163 = "Älvsborg"						#Elfsborg					|			01.06.18
4165 = "Göinge"							#Goinge						|			16.05.20
4248 = "Kasjin"							#Kashin						|			23.10.18
4364 = "Inre Hebriderna"				#Inner Hebrides				|			26.05.18
4528 = "Kujavien"						#Kuyavia					|			04.09.20
4531 = "Bukarest"						#Bucharest					|			16.09.20

#New world colony names
481	= "Funning"	#NWCN
482	= "Engelbrekthamn"	#NWCN
483	= "Turkiska Öarna"	#NWCN
484	= "Hamnstad"	#NWCN
485	= "Björnfästningen"	#NWCN
486	= "Bottenströmmen"	#NWCN
487	= "Tainö"	#NWCN
488	= "Bengtssonsvik"	#NWCN
489	= "Sköldpadsviken"	#NWCN
490	= "Nya Uppsala"	#NWCN
491	= "Hjärta"	#NWCN
492	= "Ull"	#NWCN
493	= "Tyr"	#NWCN
494	= "Vidar"	#NWCN
495	= "Sankt Bartolomeus"	#NWCN
496	= "Siv"	#NWCN
497	= "Oden"	#NWCN
498	= "Loke"	#NWCN
499	= "Idun"	#NWCN
500	= "Höder"	#NWCN
501	= "Frigg"	#NWCN
502	= "Balder"	#NWCN
741	= "Aalby"	#NWCN
2804	= "Ulricehamn"	#NWCN
743	= "Gustavsborg"	#NWCN
744	= "Grönborg"	#NWCN
2937	= "Suriname"	#NWCN
746	= "Sankt Jakob"	#NWCN
747	= "Äppelflod"	#NWCN
748	= "Betlehem"	#NWCN
749	= "Brattalid"	#NWCN
2926	= "Kyrkberg"	#NWCN
751	= "Karlsämne"	#NWCN
752	= "Vita Skogar"	#NWCN
753	= "Brahestad"	#NWCN
755	= "Heliga Kors"	#NWCN
2921	= "Nya Vallentuna"	#NWCN
756	= "Alla Helgon"	#NWCN
757	= "Överlän"	#NWCN
758	= "Vitakyrkan"	#NWCN
759	= "Diamantfortet"	#NWCN
760	= "Storvik"	#NWCN
761	= "Austrått"	#NWCN
762	= "Össeby "	#NWCN
763	= "Januarifloden"	#NWCN
764	= "Högstad"	#NWCN
765	= "Allmänna Gruvor"	#NWCN
766	= "Middenstad"	#NWCN
2906	= "Lunderskog"	#NWCN
768	= "Almnäs "	#NWCN
769	= "Blomma Län"	#NWCN
2884	= "Allested"	#NWCN
2857	= "Alnarp"	#NWCN
772	= "Bellinga"	#NWCN
773	= "Slottsstad"	#NWCN
2920	= "Palmstiernaby"	#NWCN
2888	= "Tureborg"	#NWCN
775	= "Mariaskyrka"	#NWCN
2848	= "Börringe"	#NWCN
778	= "Bra Vindar"	#NWCN
779	= "Lutandesten"	#NWCN
2870	= "Salneckentuna"	#NWCN
2869	= "Ellinge"	#NWCN
782	= "Brandmark"	#NWCN
783	= "Bolerup"	#NWCN
784	= "Vilhelmsfästning"	#NWCN
785	= "Fredriksborg"	#NWCN
2865	= "Wäsby"	#NWCN
787	= "Grönbetesmark"	#NWCN
2845	= "Sankt Johannes"	#NWCN
2861	= "Gåsevadholm"	#NWCN
790	= "Jaktområde"	#NWCN
791	= "Alsnö"	#NWCN
792	= "Kopparkullen"	#NWCN
2841	= "Karlstenby"	#NWCN
794	= "Kronstad"	#NWCN
2940	= "Yxtaholm"	#NWCN
796	= "Sankt Markus"	#NWCN
2941	= "Stenhammar"	#NWCN
2942	= "Sparreholm"	#NWCN
799	= "Eketorp"	#NWCN
800	= "Dvärgstaden"	#NWCN
801	= "Fornborg"	#NWCN
802	= "Freden"	#NWCN
803	= "Heliga Treenigheten"	#NWCN
804	= "Sjöstrand"	#NWCN
805	= "Dybäck"	#NWCN
806	= "Djursholm"	#NWCN
807	= "Länsstaden"	#NWCN
808	= "Cusco"	#NWCN
809	= "Slottby"	#NWCN
810	= "Drottningholm"	#NWCN
811	= "Gröndal"	#NWCN
812	= "Biskopslott"	#NWCN
813	= "Hovdala"	#NWCN
814	= "Göksholm"	#NWCN
2945	= "Meyendorff"	#NWCN
816	= "Hörningsholm"	#NWCN
817	= "Nya Görväln"	#NWCN
818	= "Glimmingehus"	#NWCN
819	= "Kärnan"	#NWCN
820	= "Läckö"	#NWCN
821	= "Nya Linköping"	#NWCN
822	= "Johannes Döparen"	#NWCN
823	= "Vitby"	#NWCN
824	= "Kavaljershviloplats"	#NWCN
825	= "Damensbro"	#NWCN
826	= "Djungelborg"	#NWCN
827	= "Estniskafästningen"	#NWCN
828	= "Kronoberg"	#NWCN
829	= "Magdala"	#NWCN
830	= "Knutstorp"	#NWCN
831	= "Prinsstaden"	#NWCN
832	= "Lövstabruk"	#NWCN
2812	= "Sankt Anders"	#NWCN
834	= "Henriks Fortet"	#NWCN
835	= "Fjärilsbukten"	#NWCN
836	= "Sankt Josef"	#NWCN
837	= "Stjärnfältet"	#NWCN
838	= "Blåttfält"	#NWCN
839	= "Helgon Frälsare"	#NWCN
840	= "Lågvik"	#NWCN
841	= "Grönaskogar"	#NWCN
842	= "Blommahavet"	#NWCN
843	= "Hemkyrka"	#NWCN
844	= "Penningby"	#NWCN
845	= "Lindholm"	#NWCN
846	= "Bubbelpool"	#NWCN
847	= "Grönvik"	#NWCN
848	= "Kaninhamn"	#NWCN
849	= "Krigarkolonin"	#NWCN
850	= "Nya Köping"	#NWCN
2624	= "Klingspornsby"	#NWCN
852	= "Meksiko"	#NWCN
853	= "Osbyholm"	#NWCN
854	= "Kungensstad"	#NWCN
855	= "Hundflod"	#NWCN
856	= "Månstorp"	#NWCN
857	= "Sankt Ludvig"	#NWCN
858	= "Bohus Fästning"	#NWCN
859	= "Råbelöv"	#NWCN
860	= "Handlareby"	#NWCN
861	= "Flodkröket"	#NWCN
862	= "Hästnä"	#NWCN
863	= "Smedstorp"	#NWCN
864	= "Rydboholm"	#NWCN
865	= "Skarhult"	#NWCN
866	= "Svenstorp"	#NWCN
867	= "Röda Pelare"	#NWCN
868	= "Jätte"	#NWCN
869	= "Fura Udde"	#NWCN
870	= "Kungensflod"	#NWCN
871	= "Ensteg"	#NWCN
872	= "Karlshamn"	#NWCN
873	= "Vänersborg"	#NWCN
874	= "Skara"	#NWCN
875	= "Sankt Kristoffer "	#NWCN
876	= "Fenix"	#NWCN
877	= "Degerby"	#NWCN
878	= "Vitsten"	#NWCN
879	= "Trevägar"	#NWCN
880	= "Lundsberg"	#NWCN
881	= "Fort af Månen"	#NWCN
882	= "Vitsand"	#NWCN
883	= "Västerås"	#NWCN
884	= "Ludvigsvik"	#NWCN
885	= "Hedlän"	#NWCN
886	= "Blommingkulle"	#NWCN
887	= "Nasaret"	#NWCN
888	= "Vikstad"	#NWCN
889	= "Magnhildskyrk"	#NWCN
890	= "Valhall"	#NWCN
891	= "Nya Södertälje"	#NWCN
892	= "Nya Visby"	#NWCN
893	= "Nya Söderköping"	#NWCN
894	= "Räddastad"	#NWCN
