#List
80 = "Tréier"								#Trier						|			01.06.18
90 = "Flandern"								#Vlaanderen					|			01.06.18
91 = "Hainaut"								#Hainaut					|			01.06.18
93 = "Léck"									#Liege						|checked	01.06.18
94 = "Lëtzebuerg"							#Luxemburg					|checked	01.06.18
1095 = "Falkland Inselen"					#Falklands					|			13.06.18
1887 = "Oochen"								#Aachen						|			16.07.20

#Benelux


92 = "Brabant"			#Brabant


95 = "Breda"				#Breda
96 = "Zeeland"			#Zeeland
98 = "Utrecht"			#Utrecht
100 = "Friesland"			#Friesland
1742 = "Limburg"			#Limburg
1744 = "Antwerpen"			#Antwerpen
1865 = "Gent"				#Ghent
1866 = "Namouer"			#Namur
3004 = "Arel"				#Arlon
#France
#Germany
41 = "Königsberg"			#Konigsberg
42 = "Ermland"			#Warmia
43 = "Danzig"				#Danzig
44 = "Hamburg"			#Hamburg
2996 = "Mecklenburg"			#Mecklenburg
2994 = "Stralsund"			#Stralsund
53 = "Lüneburg"			#Luneburg
55 = "Oldenburg"			#Oldenburg
57 = "Braunschweig"			#Brunswick
63 = "Thüringen"			#Thuringen
2957 = "Landshut"			#Landshut
65 = "München"			#Munchen
66 = "Bamberg"			#Bamberg
67 = "Nürnberg"			#Nurnberg
69 = "Ravensburg"			#Konstanz
70 = "Württemberg"			#Wurttemberg
72 = "Breisgau"			#Breisgau
73 = "Tiroul"				#Tirol
74 = "Baden"				#Baden
75 = "Elsass"				#Elsass
76 = "Salzburg"			#Salzburg
78 = "Mainz"				#Mainz
79 = "Würzburg"			#Wurzburg

81 = "Hessen"				#Hessen
82 = "Westfalen"			#Lippe
85 = "Köln"				#Koln
86 = "Münster"			#Munster
110 = "Südtiroul"			#Trent/Sudtirol
128 = "Kärnten"			#Karnten
129 = "Krain"				#Krain
132 = "Steiermark"			#Steiermark
134 = "Wien"				#Wien
165 = "Bern"				#Bern
166 = "Waldstätten"			#Waldstatte
189 = "Loutrengen"			#Lothringen
255 = "Gnesen"				#Kalisz
270 = "Traken"				#Troki
1757 = "Oberpfalz"			#Oberpfalz
1758 = "Hannover"			#Hannover
1760 = "Coblenz" #before 1926		#Koblenz
1761 = "Pfalz"				#Pfalz
1762 = "Cassel"  #before 1926		#Kassel
1769 = "Görz"				#Gorz
1770 = "Ostmark"			#Ostmarchx
1841 = "Marienburg"			#Marienburg
1859 = "Kulm"				#Torun
1867 = "Waadt"				#Freiburg
1868 = "Augsburg"			#Augsburg
1869 = "Zürich"				#Zurich
1870 = "St. Gallen"			#St Gallen
1871 = "Wallis"				#Wallis
1872 = "Ulm"				#Ulm
1873 = "Graubünden"			#Chur
1874 = "Bremen"				#Bremen
1876 = "Frankfurt"			#Frankfurt
1878 = "Oochen"				#Aachen
1931 = "Ostfriesland"			#East Frisia
2545 = "Cleve"				#Kleve
2559 = "Busäu"				#Buzau
48 = "Kolberg"			#Kolberg
#Scandinavia
5 = "Wermland"			#Varmland
6 = "Schonen"			#Skane
12 = "Seeland"			#Sjaelland
13 = "Schleswig"			#Slesvig
14 = "Fünen"				#Fyn
15 = "Mitteljütland"			#Jylland/Midtjylland
19 = "Ostbottnien"			#Osterbotten
27 = "Finnland"			#Finland
