#Country Name: Please seefilename.
graphical_culture = polynesiangfx
color = { 200 215 130 }
#revolutionary_colors = { 10 8 5 } 
historical_idea_groups = {
  maritime_ideas
  indigenous_ideas
  economic_ideas
  naval_ideas
  religious_ideas
  trade_ideas
  defensive_ideas
  spy_ideas
}
historical_units = {
  pacific_spearman
  pacific_reformed_spearman
  pacific_horseman
  pacific_island_warriors
  pacific_cavalry
  pacific_arquebusier
  pacific_hussar
  pacific_swarm_cav
  pacific_riflemen
  pacific_dragoon
  pacific_guerrillas
}
monarch_names = {
  "阿阿塔 #0" = 1 	# Aata #0
  "阿希卡 #0" = 1 	# Ahika #0
  "阿卡哈塔 #0" = 1 	# Akahata #0
  "阿马豪 #0" = 1 	# Amahau #0
  "阿佩拉 #0" = 1 	# Apera #0
  "阿佩拉哈马 #0" = 1 	# Aperahama #0
  "阿拉佩塔 #0" = 1 	# Arapeta #0
  "阿里 #0" = 1 	# Ari #0
  "阿塔马 #0" = 1 	# Atama #0
  "阿塔法伊 #0" = 1 	# Atawhai #0
  "埃特拉 #0" = 1 	# Etera #0
  "哈霍纳 #0" = 1 	# Hahona #0
  "海莫纳 #0" = 1 	# Haimona #0
  "哈拉塔 #0" = 1 	# Harata #0
  "豪 #0" = 1 	# Hau #0
  "赫胡 #0" = 1 	# Hehu #0
  "赫凯托罗 #0" = 1 	# Heketoro #0
  "赫纳雷 #0" = 1 	# Henare #0
  "霍赫帕 #0" = 1 	# Hohepa #0
  "胡阿塔雷 #0" = 1 	# Huatare #0
  "胡纳波 #0" = 1 	# Hunapo #0
  "胡努 #0" = 1 	# Hunu #0
  "伊阿雷雷 #0" = 1 	# Iarere #0
  "伊埃霍哈帕塔 #0" = 1 	# Iehohapata #0
  "伊埃尼 #0" = 1 	# Ieni #0
  "伊埃特佩雷 #0" = 1 	# Ietepere #0
  "伊埃托罗 #0" = 1 	# Ietoro #0
  "伊海阿 #0" = 1 	# Ihaia #0
  "伊哈卡 #0" = 1 	# Ihaka #0
  "伊胡 #0" = 1 	# Ihu #0
  "伊卡罗阿 #0" = 1 	# Ikaroa #0
  "伊奥拉马 #0" = 1 	# Iorama #0
  "伊奥拉宜 #0" = 1 	# Iorangi #0
  "伊奥塔马 #0" = 1 	# Iotama #0
  "伊赖阿 #0" = 1 	# Iraia #0
  "伊里拉宜 #0" = 1 	# Irirangi #0
  "伊维 #0" = 1 	# Iwi #0
  "卡胡拉宜 #0" = 1 	# Kahurangi #0
  "凯 #0" = 1 	# Kai #0
  "凯豪图 #0" = 1 	# Kaihautu #0
  "卡马卡 #0" = 1 	# Kamaka #0
  "考里 #0" = 1 	# Kauri #0
  "科拉卡 #0" = 1 	# Koraka #0
  "马哈卡 #0" = 1 	# Mahaka #0
  "马纳阿基 #0" = 1 	# Manaaki #0
  "马奈阿 #0" = 1 	# Manaia #0
  "马纳瓦 #0" = 1 	# Manawa #0
  "马提乌 #0" = 1 	# Matiu #0
  "莫阿娜 #0" = 1 	# Moana #0
  "尼考 #0" = 1 	# Nikau #0
  "普尔塔 #0" = 1 	# Purta #0
  "普塔 #0" = 1 	# Puta #0
  "拉宜 #0" = 1 	# Rangi #0
  "拉帕塔 #0" = 1 	# Rapata #0
  "拉维里 #0" = 1 	# Rawiri #0
  "罗鄂 #0" = 1 	# Rongo #0
  "罗帕塔 #0" = 1 	# Ropata #0
  "鲁鲁 #0" = 1 	# Ruru #0
  "泰 #0" = 1 	# Tai #0
  "泰卡 #0" = 1 	# Taika #0
  "塔马 #0" = 1 	# Tama #0
  "塔内 #0" = 1 	# Tane #0
  "塔内马胡塔 #0" = 1 	# Tanemahuta #0
  "塔雅罗阿 #0" = 1 	# Tangaroa #0
  "塔韦拉 #0" = 1 	# Tawera #0
  "塔菲里 #0" = 1 	# Tawhiri #0
  "塔因 #0" = 1 	# Tayn #0
  "特-阿里基 #0" = 1 	# Te-Ariki #0
  "提阿 #0" = 1 	# Tia #0
  "图伊 #0" = 1 	# Tui #0
  "阿阿里阿 #0" = -1 	# Aaria #0
  "阿迈阿 #0" = -1 	# Amaia #0
  "阿娜 #0" = -1 	# Ana #0
  "阿娜赫拉 #0" = -1 	# Anahera #0
  "阿罗哈 #0" = -1 	# Aroha #0
  "阿塔阿胡阿 #0" = -1 	# Ataahua #0
  "阿菲娜 #0" = -1 	# Awhina #0
  "哈娜 #0" = -1 	# Hana #0
  "Kahurangi #0" = -1
  "凯阿 #0" = -1 	# Kaia #0
  "卡拉 #0" = -1 	# Kara #0
  "科拉 #0" = -1 	# Kora #0
  "迈阿 #0" = -1 	# Maia #0
  "Manaia #0" = -1
  "Manawa #0" = -1
  "Moana #0" = -1
  "鲁伊 #0" = -1 	# Rui #0
  "特-奥 #0" = -1 	# Te-Ao #0
  "特-阿罗哈 #0" = -1 	# Te-Aroha #0
  "Tia #0" = -1
  "Tui #0" = -1
}
leader_names = {
  "阿阿塔" 	# Aata
  "阿希卡" 	# Ahika
  "阿卡哈塔" 	# Akahata
  "阿马豪" 	# Amahau
  "阿内瓦" 	# Anewa
  "阿佩拉" 	# Apera
  "阿佩拉哈马" 	# Aperahama
  "阿拉佩塔" 	# Arapeta
  "阿里" 	# Ari
  "阿塔马" 	# Atama
  "阿塔法伊" 	# Atawhai
  "埃特拉" 	# Etera
  "哈霍纳" 	# Hahona
  "海莫纳" 	# Haimona
  "哈拉塔" 	# Harata
  "豪" 	# Hau
  "赫胡" 	# Hehu
  "赫凯托罗" 	# Heketoro
  "赫纳雷" 	# Henare
  "霍赫帕" 	# Hohepa
  "胡阿塔雷" 	# Huatare
  "胡纳波" 	# Hunapo
  "胡努" 	# Hunu
  "伊阿雷雷" 	# Iarere
  "伊埃霍哈帕塔" 	# Iehohapata
