#Country Name: Please see filename.
graphical_culture = southamericagfx
color = { 94 96 11 }
revolutionary_colors = { 9 12 9 }
historical_idea_groups = {
  religious_ideas
  defensive_ideas
  offensive_ideas
  maritime_ideas
  trade_ideas
  spy_ideas
  diplomatic_ideas
  economic_ideas
}
historical_units = {
  mesoamerican_spearmen
  central_american_horsemen
  maya_tribal_warfare
  maya_forest_warfare
  maya_gunpowder_warfare
  westernized_mayan
  maya_guerilla_warfare
}
leader_names = {
  "阿金索克" 	# Ahkinxoc
  "阿麦塔坎库尔" 	# Ahmetakkukul
  "阿莫克" 	# Ahmok
  "阿纳库佩奇" 	# Ahnakukpech
  "阿波普 阿奇" 	# Ahpop-Achi
  "阿拉纳" 	# Arana
  "巴坎" 	# Bakan
  "巴拉姆" 	# Balam
  "博尔" 	# Bor
  "坎尼克" 	# Canek
  "凯奥布" 	# Chaob
  "奇阿姆" 	# Chiam
  "努伊格" 	# Hnuyg
  "卡约姆" 	# Kayom
  "基林" 	# Kíin
  "库库玛兹" 	# Kukumatz
  "莫察库奥" 	# Mochcouoh
  "纳查坎" 	# Nachancan
  "诺霍查约姆" 	# Nohochacyum
  "帕卡尔" 	# Pacal
  "奎泽 巴兰姆" 	# Quitze Balam
  "特库努曼" 	# Tecunuman
  "瓦塔基" 	# Vataki
  "约马卡斯" 	# Yumcaax
  "佐兹" 	# Zotz
}
monarch_names = {
  "坎 艾克 #0" = 60 	# Can Ek #0
  "巴兰姆 奎泽 #0" = 20 	# Balam Quitze #0
  "科科姆 #1" = 20 	# Cocom #1
  "帕卡尔 #1" = 20 	# Pacal #1
  "瓦扎基 卡姆 #0" = 20 	# Vahxaqui Caam #0
  "阿 卡卡奥 #1" = 15 	# Ah Cacao #1
  "查姆 巴伦 #1" = 15 	# Cham Bahlun #1
  "库 埃克斯 #1" = 15 	# Cu Ix #1
  "帕卡尔 巴拉姆 #1" = 15 	# Pacal Balam #1
  "亚克苏姆 巴拉姆 #1" = 15 	# Yaxum Balam #1
  "巴兹 查安 #1" = 10 	# Butz Chan #1
  "查安 穆安 #1" = 10 	# Chaan Muan #1
  "坎 博阿尔 #1" = 10 	# Kan Boar #1
  "雅克斯 库克 默克 #1" = 10 	# Yax Kuk Mok #1
  "雅克斯 帕克 #1" = 10 	# Yax Pac #1
  "阿 坎 #0" = 0 	# Ah Can #0
  "阿金索克 #0" = 0 	# Ahkinxok #0
  "阿莫克 #0" = 0 	# Ahmok #0
  "阿波普 阿奇 #0" = 0 	# Ahpop-Achi #0
  "阿拉纳 #0" = 0 	# Arana #0
  "巴坎 #0" = 0 	# Bakan #0
  "博尔 #0" = 0 	# Bor #0
  "寇凯布 #0" = 0 	# Cocaib #0
  "考寇雅 #0" = 0 	# Cocoja #0
  "科纳切 #0" = 0 	# Conache #0
  "科图雅 #0" = 0 	# Cotuja #0
  "古卡玛兹 #0" = 0 	# Gucamatz #0
  "努伊格 #0" = 0 	# Hnuyg #0
  "坎 巴伦 莫 #0" = 0 	# Kan Bahlun Mo #0
  "卡约姆 #0" = 0 	# Kayom #0
  "库库玛兹 #0" = 0 	# Kukumatz #0
  "莫察库奥 #0" = 0 	# Mochcouoh #0
  "诺霍查约姆 #0" = 0 	# Nohochacyum #0
  "奥克希布 奎 #0" = 0 	# Oxib Queh #0
  "特库努曼 #0" = 0 	# Tecunuman #0
  "图图尔 休 #0" = 0 	# Tutul Xiu #0
  "希奎恩 #0" = 0 	# Tziquin #0
  "瓦塔基 #0" = 0 	# Vataki #0
  "尤姆卡兹 #0" = 0 	# Yumcaaz #0
  "佐兹 #0" = 0 	# Zotz #0
  "撒克尼特 #0" = -1 	# Sacnite #0
  "纳莫克斯 切尔 #0" = -1 	# Namox Chel #0
  "伊策尔 #0" = -1 	# Itzel  #0
}
ship_names = {
  "芦苇之地" 	# Aké
  "死神" 	# Ah Puch
  "石制水池" 	# Altun Ha
  "彩绘之城" 	# Bonampak
  "水谷沟渠" 	# Becan
  "九井之地" 	# Bolonchen
  "雷雨之神" 	# Chaac
  "死夜蝙蝠" 	# Camazotz
  "蛇巢" 	# Cancuén
  "蜗牛" 	# Caracol
  "山丘" 	# Cerros
  "红粟之地" 	# Chacchoben
  "红石堆" 	# Chacmultun
  "钦尼奇哈" 	# Chinikiha
  "阶梯岩洞" 	# Chinkultic
  "清水井" 	# Chunchucmil
  "西维图克" 	# Civiltuk
  "双塔之城" 	# Calakmul
