graphical_culture = easterngfx
color = { 138 193 231 }
revolutionary_colors = { 0 15 0 }
historical_idea_groups = {
  trade_ideas
  defensive_ideas
  offensive_ideas
  diplomatic_ideas
  economic_ideas
  spy_ideas
  quality_ideas
  religious_ideas
}
historical_units = {
  bardiche_infantry
  eastern_knights
  slavic_stradioti
  eastern_militia
  hungarian_hussar
  polish_musketeer
  polish_hussar
  polish_tercio
  polish_winged_hussar
  russian_lancer
  russian_cuirassier
  eastern_skirmisher
  eastern_uhlan
  eastern_carabinier
  russian_mass
}
monarch_names = {
  "马尔钦 #0" = 10 	# Marcin #0
  "雅各布 #0" = 10 	# Jakub #0
  "阿瑟 #0" = 10 	# Artur #0
  "加布里埃 #0" = 10 	# Gabriel #0
  "奥斯卡 #0" = 10 	# Oskar #0
  "格热戈日 #0" = 10 	# Grzegorz #0
  "扬 #0" = 10 	# Jan #0
  "巴特洛梅耶 #0" = 10 	# Bartlomiej #0
  "巴尔托什 #0" = 10 	# Bartosz  #0
  "多米尼克 #0" = 10 	# Dominik  #0
  "伊戈尔 #0" = 10 	# Igor  #0
  "帕特雷克 #0" = 10 	# Patryk #0
  "彼得 #0" = 10 	# Piotr #0
  "罗伯特 #0" = 10 	# Robert #0
  "卡罗丽娜 #0" = -10 	# Karolina #0
  "乌尔舒拉 #0" = -1 	# Urszula #0
  "卡恰 #0" = -1 	# Kazia #0
}
leader_names = {
  "扬科夫斯基" 	# Jankowski
  "格莱戈拉" 	# Glegola
  "波塔普奇克" 	# Potapczyk
  "乌尔班" 	# Urban
  "诺瓦克" 	# Nowak
  "诺维茨基" 	# Nowicki
  "斯塔罗斯" 	# Starosz
  "维齐什凯维奇" 	# Wyciszkiewicz
  "贾尼齐亚克" 	# Jagnyziak
  "马切耶夫斯基" 	# Maciejewski
  "雅斯特热布斯基" 	# Jastrzebski
  "查尔赞" 	# Chrzan
  "卢丘克" 	# Lewczuk
  "帕托莱塔" 	# Patoleta
  "扎什琴斯基" 	# Zaszczynski
}
ship_names = {
  "诺亚方舟" 	# Arka Noego
  "白鹰" 	# Bialy Orzel
  "风暴" 	# Burza
  "白狮" 	# Bialy Lew
  "布热斯科-库亚维" 	# Brzesko-Kujawskie
  "贝沃兹" 	# Belzkie
  "布拉茨瓦夫省" 	# Braclawskie
  "慈济" 	# Charitas
  "黑鹰" 	# Czarny Orzel
  "黑鸦" 	# Czarny Kruk
  "海乌姆瑙省" 	# Chelminskie
  "切尔尼戈夫省" 	# Czernichowskie
  "幸运" 	# Fortuna
  "格里芬" 	# Gryf
  "星辰" 	# Gwiazda
  "格涅兹诺省" 	# Gnieznienskie
  "伊诺沃克劳斯基" 	# Inoworclawskie
  "大卫王" 	# Król Dawid
  "卡利什" 	# Kaliskie
  "克拉科夫省" 	# Krakowskie
  "基辅省" 	# Kijowskie
  "克拉科夫" 	# Kraków
  "卢布林" 	# Lublin
  "飞行杜鹿" 	# Latajacy Jelen'
  "利沃夫" 	# Lwów
  "宛兹卡省" 	# Leczyckie
  "卢布林省" 	# Lubelskie
  "小白鹰" 	# Maly Bialy Orzel
  "马尔堡省" 	# Malborskie
  "马佐夫舍省" 	# Mazowieckie
  "坚韧" 	# Niewrazliwy
  "新黑鹰" 	# Nowy Czarny Orzel
  "先知塞缪尔" 	# Prorok Samuel
  "海之圣母" 	# Panna Wodna
  "烈火" 	# Plomien
  "波兹南省" 	# Poznanskie
  "普沃茨克" 	# Plockie
  "波德拉谢" 	# Podlaskie
  "波多尔省" 	# Podolskie
  "骑士圣乔治" 	# Rycerz Swiety Jerzy
  "拉瓦省" 	# Rawskie
  "鲁塞尼亚省" 	# Ruskie
  "射手座" 	# Strzelec
  "至高主权" 	# Suwerenny
  "圣彼得" 	# Swiety Piotr
  "谢拉兹省" 	# Sieradzkie
  "桑多梅日省" 	# Sandomierskie
  "圣卡齐米日" 	# Swiety Kazimierz
  "烈日" 	# Wielkie Slonce
  "水瓶座" 	# Wodnik
  "瓦尔米亚省" 	# Warminskie
  "沃尔希连省" 	# Wolynskie
  "华沙" 	# Warszawa
  "胜利" 	# Zwyciestwo
  "黄狮" 	# Zólty Lew
}
