#Muscovy 
graphical_culture = easterngfx
color = { 206 181 97 }
revolutionary_colors = { 0 13 5 }
historical_idea_groups = {
  religious_ideas
  exploration_ideas
  defensive_ideas
  trade_ideas
  offensive_ideas
  maritime_ideas
  economic_ideas
  quality_ideas
}
historical_units = {
  bardiche_infantry
  druzhina_cavalry
  slavic_stradioti
  eastern_militia
  muscovite_musketeer
  muscovite_caracolle
  muscovite_soldaty
  muscovite_cossack
  russian_petrine
  russian_lancer
  russian_green_coat
  russian_cuirassier
  eastern_skirmisher
  eastern_uhlan
  eastern_carabinier
  russian_mass
}
leader_names = {
  "阿普拉克辛" 	# Apraksin
  "巴格拉季昂" 	# Bagration
  "巴克利 德 托利" 	# Barclay de Tolly
  "比比科夫" 	# Bibikoff
  "博迪斯科" 	# Bodisco
  "博卢夫辛" 	# Boruffsin
  "戈利岑" 	# Golitzin
  "凯布拉" 	# Kaibula
  "卡缅斯基" 	# Kamenski
  "克鲁佐夫" 	# Kolzoff
  "缅希科夫" 	# Mensjikov
  "穆斯季斯拉夫斯基" 	# Mustislavski
  "奥斯特曼 托尔斯泰" 	# Ostermann Tolstoy
  "巴列茨基" 	# Paletskij
  "莱耶夫斯基" 	# Rajevski
  "舒瓦洛夫" 	# Schuvalov
  "谢列米杰夫" 	# Sjeremetjev
  "斯季蹇尼亚特维夫" 	# Sjtjenjatvev
  "提森豪森" 	# Tiesenhusen
  "瓦西里耶维奇" 	# Vasiljevitj
  "冯 布克斯赫夫登" 	# von Buxhoevden
  "冯 克诺宁" 	# von Knorring
  "冯 拉西" 	# von Lascy
}
monarch_names = {
  "瓦西里 #0" = 70 	# Vasiliy #0
  "伊凡 #2" = 40 	# Ivan #2
  "德米特里 #5" = 20 	# Dmitriy #5
  "尤里 #1" = 20 	# Yuriy #1
  "安德烈 #3" = 10 	# Andrei #3
  "谢苗 #1" = 10 	# Semen #1
  "费奥多尔 #1" = 5 	# Fyodor #1
  "阿法纳西 #0" = 0 	# Afanasiy #0
  "阿基姆 #0" = 0 	# Akim #0
  "亚历山大 #0" = 0 	# Aleksandr #0
  "阿列克谢 #0" = 0 	# Alexei #0
  "安纳托利 #0" = 0 	# Anatoliy #0
  "阿尔卡季 #0" = 0 	# Arkadiy #0
  "鲍里斯 #0" = 10 	# Boris #0
  "丹尼尔 #0" = 0 	# Daniil #0
  "多罗费 #0" = 0 	# Dorofey #0
  "费奥多西 #0" = 0 	# Feodosiy #0
  "狄奥菲拉克特 #0" = 0 	# Feofilakt #0
  "加弗里勒 #0" = 0 	# Gavriil #0
  "因诺肯季 #0" = 0 	# Innokentiy #0
  "约瑟夫 #0" = 0 	# Iosif #0
  "拉夫伦蒂 #0" = 0 	# Lavrentiy #0
  "玛凯瑞 #0" = 0 	# Makariy #0
  "马特斐 #0" = 0 	# Matveiy #0
  "米哈伊尔 #0" = 0 	# Mikhail #0
  "纳扎里 #0" = 0 	# Nazariy #0
  "尼基佛尔 #0" = 0 	# Nikifor #0
  "奥列格 #0" = 0 	# Oleg #0
  "奥尼辛 #0" = 0 	# Onisim #0
  "帕韦尔 #0" = 0 	# Pavel #0
  "普罗柯比 #0" = 0 	# Prokopiy #0
  "彼得 #0" = 0 	# Pyotr #0
  "拉多米尔 #0" = 0 	# Radomir #0
  "萨维里 #0" = 0 	# Saveliy #0
  "谢尔盖 #0" = 0 	# Sergei #0
  "捷连季 #0" = 0 	# Terentiy #0
  "瓦列里 #0" = 0 	# Valeriy #0
  "亚基姆 #0" = 0 	# Yakim #0
  "雅夫盖尼 #0" = 0 	# Yevgeniy #0
  "阿加菲娅 #0" = -1 	# Agafya #0
  "斯维特拉娜 #0" = -1 	# Svetlana #0
  "尤利娅 #0" = -1 	# Yuliya #0
}
ship_names = {
  "大将军米哈伊尔" 	# Archistratig Michail
  "大天使加百列" 	# Arkhangel Gavriil
  "大天使米迦勒" 	# Arkhangel Mikhail
  "大天使拉斐尔" 	# Arkhangel Rafail
  "大天使乌列尔" 	# Arkhangel Uriil
  "主显圣容节" 	# Bogoiavlenie Gospodne
  "圣鲍里斯和格列勃" 	# Boris i Gleb
  "神意" 	# Bozhiye Predvideniye
  "圣战" 	# Cvet Vojny
  "德米特里·顿斯科伊" 	# Dimitrii Donskoi
  "奥普斯特罗夫战舰" 	# Dvenadtsat Apostolov
  "伊娃·艾琳诺拉" 	# Evva Elenora
  "伊娃·卡塔琳娜" 	# Evva Katerina
  "俄罗斯大元帅" 	# Generalissimus Rossiiskaia
  "阿尔汉格尔斯克城" 	# Gorod Arkhangelsk
  "天命" 	# Goto Predestinatsia
  "奥尔洛夫伯爵" 	# Graf Orlov
  "安娜女皇" 	# Imperatritsa Anna
  "金口约翰一世" 	# Ioann Zlatoust Pervyi
  "伊萨克·维多利亚" 	# Isaak Viktoriia
  "伊凡·哥罗德" 	# Ivan Gorod
  "圣亚历山大骑士" 	# Kavaler Sviatoi Aleksandr
