#Country Name: Please see filename.
graphical_culture = northamericagfx
color = { 91 118 118 }
revolutionary_colors = { 5 0 5 }
historical_idea_groups = {
  religious_ideas
  defensive_ideas
  offensive_ideas
  trade_ideas
  diplomatic_ideas
  plutocracy_ideas
  spy_ideas
  economic_ideas
}
historical_units = {
  native_indian_archer
  native_indian_tribal_warfare
  algonkin_tomahawk_charge
  commanche_swarm
  native_indian_mountain_warfare
  sioux_dragoon
  american_western_franchise_warfare
}
monarch_names = {
  "瓦巴沙 #0" = 30 	# Wabasha #0
  "佩泰特 #0" = 10 	# Petette #0
  "塔尔图卡纳西亚 #0" = 10 	# Tartunkanasiah #0
  "基杰 #0" = 10 	# Keejee #0
  "塔尔塞加 #0" = 10 	# Tarsega #0
  "瓦马德屯卡 #0" = 10 	# Wamadetunka #0
  "瓦纳塔 #0" = 10 	# Wannata #0
  "科科马科 #0" = 10 	# Kokomako #0
  "沙科普 #0" = 10 	# Shacope #0
  "佩尼锡恩 #0" = 10 	# Penision #0
  "埃塔锡帕 #0" = 10 	# Etaseepa #0
  "瓦考希 #0" = 10 	# Wakauhee #0
  "波埃哈帕 #0" = 10 	# Poehapa #0
  "塔克瓦帕 #0" = 10 	# Takewapa #0
  "滕契泽帕尔特 #0" = 10 	# Tenchzepart #0
  "马斯克普罗恰斯托什 #0" = 10 	# Mascpulochastosh #0
  "泰特卡尔蒙契 #0" = 10 	# Tetekarmunch #0
  "瓦萨塔 #0" = 10 	# Wasaota #0
  "埃亚科卡 #0" = 10 	# Oeyakoca #0
  "马克托瓦基尔克 #0" = 10 	# Maktowahkeark #0
  "马托瓦尤韦 #0" = 10 	# Matowayouwe #0
  "马卡托扎扎 #0" = 10 	# Makatozaza #0
  "贝洛顿卡坦加 #0" = 10 	# Belotonkatanga #0
  "纳卡帕吉吉 #0" = 10 	# Nakapagigi #0
  "马克托萨比契斯 #0" = 10 	# Maktosabichis #0
  "梅瓦塔尼汉斯卡 #0" = 10 	# Mewatanihanska #0
  "坐牛 #0" = 10 	# Thathanka  Iyotake #0
  "触云 #0" = 10 	# Mahpiya Iyapato #0
  "疯马 #0" = 10 	# Thasunke Witko #0
  "红云 #0" = 10 	# Maphiya Luta #0
  "黑麋鹿 #0" = 10 	# Hehaka Sapa #0
  "斑尾 #0" = 10 	# Sinte Gleska #0
  "颊雨 #0" = 10 	# Ite Omagazu #0
  "红衫 #0" = 10 	# Ogle Luta #0
  "塔斯那萨佩雯 #0" = -1 	# Tasinasapewin #0
  "塔西纳马尼 #0" = -1 	# Thasinamani #0
  "塔辛纳拉拉文 #0" = -1 	# Tasinahlahlawin #0
}
leader_names = {
  "锡昌古" 	# Sichangu
  "奥格拉拉" 	# Oglala
  "伊塔齐普乔" 	# Itazipcho
  "洪克帕帕" 	# Hunkpapha
  "姆尼科沃祖" 	# Mnikhowozu
  "锡哈萨帕" 	# Sihasapa
  "乌赫农帕" 	# Oohenunpa
  "伊汉特昆万" 	# Ihantkhunwan
  "伊汉克屯万纳" 	# Ihankthunwanna
  "伊散亚蒂" 	# Isanyathi
  "蒂屯万" 	# Thithunwan
  "维奇耶纳" 	# Wichiyena
  "瓦佩屯万" 	# Wahpéthunwan
  "姆德瓦坎屯万" 	# Mdewakanthunwan
  "瓦佩胡特" 	# Wahpéhute
  "锡塞顿" 	# Sisithunwan
}
ship_names = {
  "锡昌古" 	# Sichangu
  "奥格拉拉" 	# Oglala
  "无弓猎人" 	# Itazipcho
  "洪克帕帕" 	# Hunkpapha
  "姆尼科沃祖" 	# Mnikhowozu
  "黑足" 	# Sihasapa
  "乌赫农帕" 	# Oohenunpa
  "伊汉特昆万" 	# Ihantkhunwan
  "伊汉克屯万纳" 	# Ihankthunwanna
  "刀匠" 	# Isanyathi
  "蒂屯万" 	# Thithunwan
  "维奇耶纳" 	# Wichiyena
  "瓦佩屯万" 	# Wahpéthunwan
  "姆德瓦坎屯万" 	# Mdewakanthunwan
  "瓦佩胡特" 	# Wahpéhute
  "锡塞顿" 	# Sisithunwan
}
