#Country Name: Please see filename.
graphical_culture = muslimgfx
color = { 40 75 175 }
revolutionary_colors = { 4 0 13 }
historical_idea_groups = {
  defensive_ideas
  offensive_ideas
  trade_ideas
  spy_ideas
  diplomatic_ideas
  economic_ideas
  quality_ideas
  quantity_ideas
}
historical_units = {
  persian_footsoldier
  persian_cavalry_charge
  shaybani
  persian_shamshir
  qizilbash_cavalry_unit
  tofongchis_musketeer
  topchis_artillery
  afsharid_reformed
  afsharid_reformed_infantry
  muslim_mass_infantry
  muslim_dragoon
  persian_rifle
}
monarch_names = {
  "阿卜杜勒-阿齐兹 #0" = 20 	# Abdul-Aziz #0
  "阿不都 哈里木 #0" = 20 	# Abdul-Karim #0
  "阿卜杜勒 穆明 #0" = 20 	# Abdul-Mumin #0
  "阿卜杜勒 拉希姆 #0" = 20 	# Abdul-Rahim #0
  "阿卜杜拉 #0" = 20 	# Abdulla #0
  "阿布 赛义德 #0" = 20 	# Abu Said #0
  "阿卜杜 菲兹 #0" = 20 	# Abu'l-Feiz #0
  "阿布 加齐 #0" = 20 	# Abu'l-Ghazi #0
  "阿布海儿 #0" = 20 	# Abu'l-Khayr #0
  "阿布 曼苏尔 #0" = 20 	# Abu'l-Mansur #0
  "阿合台 #0" = 20 	# Agatay #0
  "阿里姆 #0" = 20 	# Alim #0
  "阿努沙 #0" = 20 	# Anusha #0
  "阿拉布 穆罕默德 #0" = 20 	# Arab Muhammad #0
  "阿万讷什 #0" = 20 	# Avanesh #0
  "巴哈杜尔 #0" = 20 	# Bahadur #0
  "巴赫特 #0" = 20 	# Bakht #0
  "巴基 穆罕默德 #0" = 20 	# Baqi Muhammad #0
  "不楚合 #0" = 20 	# Budjuga #0
  "不列哥 #0" = 20 	# Bureke #0
  "答尼勒 #0" = 20 	# Daniyal #0
  "术赤 #0" = 20 	# Djuchi #0
  "朵思歹 #0" = 20 	# Dost #0
  "哈巴什 #0" = 20 	# Habash #0
  "哈吉 #0" = 20 	# Hadji #0
  "哈吉 穆罕默德 #0" = 20 	# Hadji Muhammad #0
  "哈桑 库里 #0" = 20 	# Hassan Quli #0
  "海达尔 #0" = 20 	# Haydar #0
  "伊玛目 库里 #0" = 20 	# Imam Quli #0
  "伊尔巴尔斯 #0" = 20 	# Ilbars #0
  "伊尔达娜 #0" = 20 	# Irdana #0
  "埃斯凡迪亚尔 #0" = 20 	# Isfandiyar #0
  "亦思木 #0" = 20 	# Isim #0
  "伊斯坎德尔 #0" = 20 	# Iskandar #0
  "札尼别 #0" = 20 	# Janibek #0
  "喀尔 #0" = 20 	# Kal #0
  "胡达亚尔 #0" = 20 	# Khudayar #0
  "胡达达德 #0" = 20 	# Khudaydad #0
  "忽春赤 #0" = 20 	# Kochkunju #0
  "穆罕默德 #0" = 20 	# Muhammad #0
  "穆罕默德 阿明 #0" = 20 	# Muhammad Amin #0
  "穆罕默德 哈基姆 #0" = 20 	# Muhammad Hakim #0
  "穆罕默德 拉希姆 #0" = 20 	# Muhammad Rahim #0
  "纳迪尔 穆罕默德 #0" = 20 	# Nadir Muhammad #0
  "纳尔布塔 #0" = 20 	# Narbuta #0
  "纳乌鲁孜 艾哈迈德 #0" = 20 	# Navruz Ahmad #0
  "尼亚孜 #0" = 20 	# Niyaz #0
  "皮尔 穆罕默德 #0" = 20 	# Pir Muhammad #0
  "桑贾尔 #0" = 20 	# Sanjar #0
  "塞温赤 #0" = 20 	# Sevinch #0
  "沙迪 #0" = 20 	# Shadi #0
  "沙穆拉德 #0" = 20 	# Shahmurad #0
  "沙哈鲁 #0" = 20 	# Shahrukh #0
  "谢赫 海达尔 #0" = 20 	# Shaykh Haidar #0
  "苏布罕 库里 #0" = 20 	# Subhan Quli #0
  "素福彦 #0" = 20 	# Sufyan #0
  "苏莱曼 #0" = 20 	# Suleyman #0
  "塔希尔 #0" = 20 	# Tahir #0
  "帖木儿 #0" = 20 	# Timur #0
  "奥拜都剌 #0" = 20 	# Ubaydulla #0
  "奥马尔 #0" = 20 	# Umar #0
  "瓦利 #0" = 20 	# Vali #0
  "瓦利 穆罕默德 #0" = 20 	# Vali Muhammad #0
  "亚德嘎尔 #0" = 20 	# Yadgar #0
  "霍妲 #0" = -1 	# Hooda #0
  "麻赖卡 #0" = -1 	# Malaika #0
  "穆尼拉 #0" = -1 	# Munira #0
  "拉比娅 #0" = -1 	# Rabiya #0
  "拉菲喀 #0" = -1 	# Rafiqa #0
}
leader_names = {
  "巴赤" 	# Bachi
  "图拉" 	# Tura
  "穆拉德" 	# Murad
  "巴哈杜尔" 	# Bahadur
  "阿里木" 	# Alim
  "忽里" 	# Quli
  "末罗" 	# Malla
  "穆拉德" 	# Murad
  "额尔德尼" 	# Erdeni
  "胡达亚尔" 	# Khudayar
}
ship_names = {
  "浩罕" 	# Khavakend
  "阿姆河" 	# Amu Darja
  "费尔干纳" 	# Fergana
  "马尔格兰" 	# Margilan
  "里什顿" 	# Rishdan
  "贝沙里克" 	# Besharik
  "哈姆扎" 	# Khamza
  "曲瓦" 	# Kuva
  "曲瓦索" 	# Kuvasay
  "纳尔" 	# Nar
  "锡尔河" 	# Syr Darja
  "泽拉夫尚河" 	# Uzeravsan
  "阿赖山" 	# Alajskij Chrebet
}
