4125 = "Solník"
12 = "科达"  # Kodan
41 = "克拉洛维茨"  # Královská Zeme
44 = "汉堡"  # Hamburk
45 = "吕贝克"  # Lubek
2996 = "维绍米日"  # Zverín
2995 = "斯武普斯克"  # Sloup
49 = "新马尔卡"  # Nová Marka
50 = "柏林"  # Berlín
57 = "布伦斯维克"  # Brunshvik
59 = "维腾贝格"  # Wittenská Hora
61 = "德累斯顿"  # Drázhdany
62 = "莱比锡"  # Lipsko
2957 = "雷根斯堡"  # Rezno
65 = "慕尼黑"  # Mnichov
66 = "班贝格"  # Bamberk
71 = "Potok Onolc"
76 = "萨尔茨堡"  # Solnohrad
78 = "美因茨"  # Mohuc
80 = "特里尔"  # Trevír
85 = "科林"  # Kolín
90 = "布鲁吉"  # Flámsko
91 = "埃诺"  # Henegavsko
92 = "布拉班特斯克"  # Brabantsko
93 = "卢特伊赫"  # Lidéc
95 = "布雷达"  # Breda
96 = "西兰"  # Zéland
97 = "荷兰"  # Amsterodam
99 = "海尔德兰"  # Geldry
100 = "弗里斯克"  # Frísko
101 = "热那亚"  # Janov
103 = "都灵"  # Turín
104 = "米兰"  # Milán
109 = "曼托瓦"  # Mantova
110 = "特里登茨科"  # Trident
111 = "富尔兰斯科"  # Furlánsko
112 = "贝纳特基"  # Benátky
116 = "佛罗伦萨"  # Florencie
118 = "利姆"  # Rím
121 = "拿波里"  # Neapol
123 = "卡拉布里亚"  # Kalábrie
131 = "萨格勒布"  # Záhreb
133 = "林茨"  # Linec
134 = "维登"  # Víden
138 = "Cerná Hora"
142 = "科孚"  # Korfu
4175 = "阿尔巴尼亚"  # Albánie
146 = "雅典"  # Athény
151 = "君士坦丁堡"  # Carihrad
153 = "佩什特"  # Pesht
154 = "新扎姆基"  # Nové Zámky
161 = "特尔戈维什泰"  # Trhovishte
162 = "曾普林"  # Zemplín
163 = "克里特"  # Kréta
183 = "巴黎"  # Parízh
186 = "利门斯"  # Remeš
188 = "梅斯"  # Mety
205 = "萨伏伊"  # Savojsko
220 = "瓦伦西亚"  # Valencie
227 = "里斯本"  # Lisabon
236 = "伦敦"  # Londýn
254 = "波兹南"  # Poznan
255 = "卡利什"  # Kalish
257 = "华沙"  # Varshava
259 = "桑多梅日"  # Sandomer
261 = "加里奇"  # Terebovlja
262 = "克拉科夫"  # Krakov
263 = "拉蒂博尔"  # Ratibor
264 = "弗拉季斯拉夫"  # Vratislav
265 = "布尔诺"  # Brno
266 = "布拉格"  # Praha
267 = "比尔森"  # Plzen
270 = "特拉凯"  # Troky
272 = "维尔诺"  # Vilno
280 = "基辅"  # Kyjev
284 = "克里木"  # Krym
318 = "士麦拿"  # Smyrna
321 = "塞普路斯"  # Kypr
333 = "巴利阿里"  # Baleáry
334 = "丹吉尔"  # Tanger
365 = "西奈"  # Sinaj
